model,feature_set,target_recall,score_threshold,val_precision,val_recall,val_n,test_precision,test_recall,test_n,test_fp,test_fn,test_acc,test_kept_p10
logreg,numeric_only,1.0,0.0003041281442044904,0.10526315789473684,1.0,342,0.10174418604651163,1.0,344,309,0,0.11461318051575932,1.0
hgb,numeric_only,0.5,0.3912184449585207,0.5806451612903226,0.5,31,0.5454545454545454,0.5142857142857142,33,15,17,0.9083094555873925,0.74505
hgb,numeric_only,0.7,0.06251640910547938,0.4727272727272727,0.7222222222222222,55,0.48333333333333334,0.8285714285714286,60,31,6,0.8939828080229226,0.9911599999999999
hgb,numeric_only,0.8,0.03663411145134309,0.4461538461538462,0.8055555555555556,65,0.44776119402985076,0.8571428571428571,67,37,5,0.8796561604584527,0.99187
hgb,numeric_only,0.9,0.010964587746370979,0.3235294117647059,0.9166666666666666,102,0.3333333333333333,0.9142857142857143,96,64,3,0.8080229226361032,0.9998400000000001
hgb,numeric_only,0.95,0.003970674822647879,0.25925925925925924,0.9722222222222222,135,0.23703703703703705,0.9142857142857143,135,103,3,0.6962750716332379,1.0
hgb,numeric_only,1.0,0.0034915742231953345,0.2589928057553957,1.0,139,0.2318840579710145,0.9142857142857143,138,106,3,0.6876790830945558,1.0
rf,numeric_only,0.5,0.3904616052820165,0.43902439024390244,0.5,41,0.6097560975609756,0.7142857142857143,41,16,10,0.9255014326647565,0.9367800000000001
rf,numeric_only,0.7,0.24813095721595144,0.48148148148148145,0.7222222222222222,54,0.5185185185185185,0.8,54,26,7,0.9054441260744985,0.98278
rf,numeric_only,0.8,0.2225343304311698,0.4603174603174603,0.8055555555555556,63,0.4827586206896552,0.8,58,30,7,0.8939828080229226,0.9865
rf,numeric_only,0.9,0.1273792855055673,0.3333333333333333,0.9166666666666666,99,0.3404255319148936,0.9142857142857143,94,62,3,0.8137535816618912,1.0
rf,numeric_only,0.95,0.015054329902392753,0.16826923076923078,0.9722222222222222,208,0.17277486910994763,0.9428571428571428,191,158,2,0.5415472779369628,1.0
rf,numeric_only,1.0,0.011738796810689548,0.1643835616438356,1.0,219,0.15942028985507245,0.9428571428571428,207,174,2,0.49570200573065903,1.0
extra_trees,numeric_only,0.5,0.47963890980269136,0.42857142857142855,0.5,42,0.5581395348837209,0.6857142857142857,43,19,11,0.9140401146131805,0.86545
extra_trees,numeric_only,0.7,0.36198867129489126,0.4727272727272727,0.7222222222222222,55,0.5208333333333334,0.7142857142857143,48,23,10,0.9054441260744985,0.9085
extra_trees,numeric_only,0.8,0.21474596571432186,0.32954545454545453,0.8055555555555556,88,0.35526315789473684,0.7714285714285715,76,49,8,0.836676217765043,0.99114
extra_trees,numeric_only,0.9,0.15986361235211294,0.29464285714285715,0.9166666666666666,112,0.3118279569892473,0.8285714285714286,93,64,6,0.7994269340974212,0.9960500000000001
extra_trees,numeric_only,0.95,0.04718153762783492,0.18518518518518517,0.9722222222222222,189,0.18032786885245902,0.9428571428571428,183,150,2,0.5644699140401146,1.0
extra_trees,numeric_only,1.0,0.023873846259642468,0.16143497757847533,1.0,223,0.15348837209302327,0.9428571428571428,215,182,2,0.47277936962750716,1.0
gb,numeric_only,0.5,0.2114736873950511,0.5294117647058824,0.5,34,0.5135135135135135,0.5428571428571428,37,18,16,0.9025787965616046,0.7708200000000001
gb,numeric_only,0.7,0.09863752131291786,0.45614035087719296,0.7222222222222222,57,0.4807692307692308,0.7142857142857143,52,27,10,0.8939828080229226,0.93274
