method,n_test_cells,accuracy,neurite_macro_f1,axon_f1,basal_f1,apical_f1,per_cell_f1_mean,per_cell_f1_p10,per_cell_f1_p25,pyramidal_acc,pyramidal_neurite_f1,pyramidal_apical_f1,interneuron_neurite_f1
apical_consensus@0.5,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
apical_consensus@0.7,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
apical_consensus@0.8,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
apical_consensus@0.9,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
apical_consensus@0.95,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
apical_consensus@1.01,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
combo_axon_apical@0.5,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
combo_axon_apical@0.7,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
combo_axon_apical@0.8,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
combo_axon_apical@0.9,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
combo_axon_apical@0.95,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
combo_axon_apical@1.01,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
sholl_rf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neurom_rf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
