file,n_nodes_conf,stage1_pred_conf_run,stage1_conf_conf_run,pred_axon_conf_run,pred_basal_conf_run,pred_apical_conf_run,node_label_disagree_frac,node_conf_abs_delta_mean,branch3_changed_frac,branch3_label_disagree_frac,branch3_conf_abs_delta_mean,branch3_axon_delta_frac,branch3_basal_delta_frac,branch3_apical_delta_frac,branch3_to_apical_frac,branch3_from_apical_frac,conf_mean,conf_std,conf_min,conf_p05,conf_p10,conf_p25,conf_median,conf_frac_lt_05,conf_frac_lt_06,conf_frac_lt_07,conf_frac_lt_08,conf_frac_lt_09,axon_conf_mean,axon_conf_p10,axon_conf_frac_lt_07,basal_conf_mean,basal_conf_p10,basal_conf_frac_lt_07,apical_conf_mean,apical_conf_p10,apical_conf_frac_lt_07,n_pred_branches,branch_conf_mean,branch_conf_min,branch_conf_p10,branch_frac_conf_lt_07,branch_frac_conf_lt_08,branch_n_nodes_p90,pred_soma_z,pred_axon_z_extent,pred_axon_z_mean_rel_soma,pred_axon_z_std,pred_axon_x_extent,pred_axon_y_extent,pred_basal_z_extent,pred_basal_z_mean_rel_soma,pred_basal_z_std,pred_basal_x_extent,pred_basal_y_extent,pred_apical_z_extent,pred_apical_z_mean_rel_soma,pred_apical_z_std,pred_apical_x_extent,pred_apical_y_extent
neuromorpho__Cell-8-4.swc,371,pyramidal,0.997107,0,370,0,0,0,0,0,0,0,0,0,0,0,0.994317,0.000295459,0.994301,0.994301,0.994301,0.994301,0.994301,0,0,0,0,0,0,0,0,0.994301,0.994301,0,0,0,0,108,0.994354,0.994301,0.994301,0,0,8,0,0,0,0,0,0,4.72,0.0118919,0.231747,372.76,445.17,0,0,0,0,0
neuromorpho__PDE1c_vGluT2-ctrl_IN04.swc,353,interneuron,0.796024,0,352,0,0,0,0,0,0,0,0,0,0,0,0.999365,0.000926248,0.994808,0.999551,0.999551,0.999551,0.999551,0,0,0,0,0,0,0,0,0.999363,0.999551,0,0,0,0,36,0.999432,0.994808,0.999551,0,0,21.5,-0.00333333,0,0,0,0,0,35.52,5.71796,6.76174,83.54,137.75,0,0,0,0,0
neuromorpho__236-2a-19-AW.swc,348,pyramidal,0.997056,0,227,120,0,0,0,0,0,0,0,0,0,0,0.984004,0.0654943,0.3,0.986931,0.987001,0.987001,0.994301,0.00862069,0.00862069,0.00862069,0.00862069,0.0172414,0,0,0,0.983168,0.994301,0.0132159,0.985451,0.986931,0,40,0.984917,0.3,0.986931,0,0,19.2,0,0,0,0,0,0,147.14,32.1212,34.1998,345.23,313.95,140.77,9.41017,36.4506,284.57,374.2
neuromorpho__Layer-2-3-Sucrose-11.swc,346,pyramidal,0.991797,0,222,123,0,0,0,0,0,0,0,0,0,0,0.991744,0.00349167,0.98706,0.98706,0.98706,0.98706,0.994301,0,0,0,0,0,0,0,0,0.994301,0.994301,0,0.98706,0.98706,0,54,0.9932,0.98706,0.98706,0,0,12,0,0,0,0,0,0,43.97,-1.6909,8.14983,113.65,115.63,35.26,-3.52602,9.19543,83.33,188.9
neuromorpho__STRESS-1-N3_1.swc,356,interneuron,0.993441,0,355,0,0,0,0,0,0,0,0,0,0,0,0.999553,2.37415e-05,0.999551,0.999551,0.999551,0.999551,0.999551,0,0,0,0,0,0,0,0,0.999551,0.999551,0,0,0,0,5,0.999641,0.999551,0.999551,0,0,127,0,0,0,0,0,0,2.74,-0.0118028,0.618534,34.52,72.3,0,0,0,0,0
neuromorpho__241-2-50-AW.swc,342,pyramidal,0.99776,4,216,121,0,0,0,0,0,0,0,0,0,0,0.991727,0.00347722,0.98706,0.98706,0.98706,0.98706,0.994301,0,0,0,0,0,0.991812,0.991812,0,0.994301,0.994301,0,0.98706,0.98706,0,50,0.991614,0.98706,0.98706,0,0,16,0,0,0,0,3.45,22.92,111.03,-8.66856,31.6268,259.39,152.29,71.42,6.78099,16.1357,97.6,331.16
neuromorpho__236-2a-4-AW.swc,337,pyramidal,0.987461,8,224,104,0,0,0,0,0,0,0,0,0,0,0.904137,0.139443,0.3,0.675222,0.693903,0.767045,0.994301,0.00890208,0.00890208,0.121662,0.317507,0.317507,0.991812,0.991812,0,0.985003,0.994301,0.0133929,0.722299,0.670033,0.365385,47,0.906766,0.3,0.700323,0.106383,0.319149,15.8,0,4.64,0.01875,1.57402,9.12,32.05,112.13,-21.4446,26.4083,357.26,271.42,89.75,-17.0002,20.5342,143.13,235.41
neuromorpho__L3R4_06_-150.swc,345,interneuron,0.991333,0,344,0,0,0,0,0,0,0,0,0,0,0,0.999553,2.4116e-05,0.999551,0.999551,0.999551,0.999551,0.999551,0,0,0,0,0,0,0,0,0.999551,0.999551,0,0,0,0,11,0.999592,0.999551,0.999551,0,0,50,0,0,0,0,0,0,10.36,0.666948,2.27778,82.12,145.81,0,0,0,0,0
neuromorpho__20180607-L1R2-6-4-185-05-337-32-36.swc,327,interneuron,0.980608,0,326,0,0,0,0,0,0,0,0,0,0,0,0.999553,2.47688e-05,0.999551,0.999551,0.999551,0.999551,0.999551,0,0,0,0,0,0,0,0,0.999551,0.999551,0,0,0,0,12,0.999589,0.999551,0.999551,0,0,49.4,0,0,0,0,0,0,31.32,1.45316,5.51039,55.22,125.18,0,0,0,0,0
neuromorpho__Cell-12_7.swc,355,pyramidal,0.986859,293,61,0,0,0,0,0,0,0,0,0,0,0,0.625945,0.345832,0.3,0.3,0.3,0.3,0.3,0.529577,0.529577,0.529577,0.529577,0.529577,0.547979,0.3,0.641638,0.994301,0.994301,0,0,0,0,59,0.764915,0.3,0.3,0.355932,0.355932,13.2,0,0,0,0,1020.81,698.53,0,0,0,157.34,180.75,0,0,0,0,0
