file,max_prob4,n_prob4_ge_045,n_prob4_ge_035,n_prob4_ge_025,n_prob4_ge_015,n_prob4_ge_005,n_nodes,n_apical_gt,n_basal_gt,n_axon_gt,n_apical_pred,n_basal_pred,n_axon_pred,accuracy,F1_neurite,axon_F1,basal_F1,apical_F1,soma_F1
hpf_ca1__202243_012_edited.swc,0.8478908538818359,1,1,1,1,3,11273,2506,614,8152,2506,614,8152,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202243_014_edited.swc,0.19479230046272278,0,0,0,1,6,11799,0,2980,8818,0,2980,8818,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202243_016_edited.swc,0.8581967353820801,1,1,1,1,4,7203,2787,1299,3116,3516,570,3116,0.8988,0.8314,1.0,0.61,0.8843,1.0
hpf_ca1__202244_002_edited.swc,0.8654784560203552,1,1,1,2,3,10527,1754,1136,7636,1754,1136,7636,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202244_004_edited.swc,0.8799469470977783,2,2,2,2,4,18757,1723,1771,15262,1723,1771,15262,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202244_005_edited.swc,0.8949010372161865,1,1,1,1,3,16774,1552,1446,13775,1552,1446,13775,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202244_007_edited.swc,0.7403249740600586,1,1,1,2,2,12143,744,526,10872,744,0,11398,0.9567,0.6588,0.9764,0.0,1.0,1.0
hpf_ca1__202244_008_edited.swc,0.9001920819282532,1,1,1,1,5,9690,2009,1034,6646,2009,1034,6646,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202244_009_edited.swc,0.7849069237709045,1,1,1,1,8,49317,2207,2368,44741,2207,2368,44741,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202244_016_edited.swc,0.18496480584144592,0,0,0,1,1,2222,738,0,1483,0,738,1483,0.6679,0.5,1.0,,0.0,1.0
