name,n_nodes,predicted_cell_type,stage1_correct,neurite_macro_f1,macro_f1,accuracy,n_apical_gt,n_basal_gt,n_axon_gt
hpf_ca1__202237_143_edited.swc,46548,pyramidal,True,0.4981,0.6236,0.9565,2026,990,43531
hpf_ca1__202237_144_edited.swc,7378,pyramidal,True,0.4682,0.6012,0.7165,2092,711,4574
hpf_ca1__202237_152_edited.swc,47145,pyramidal,True,0.4707,0.603,0.9484,2433,853,43858
hpf_ca1__202237_153_edited.swc,29454,pyramidal,True,0.5005,0.6254,0.9495,1487,748,27218
hpf_ca1__202237_155_edited.swc,48853,pyramidal,True,0.5121,0.6341,0.9706,1434,829,46588
hpf_ca1__202237_157_edited.swc,26652,pyramidal,True,0.5164,0.6373,0.9289,1894,1154,23599
hpf_ca1__202238_006_edited.swc,29958,pyramidal,True,0.5191,0.6393,0.9522,1431,901,27625
hpf_ca1__202238_008_edited.swc,82787,pyramidal,True,0.5634,0.6726,0.9856,1191,1327,80268
hpf_ca1__202238_009_edited.swc,62989,pyramidal,True,0.5395,0.6546,0.9725,1735,1407,59846
hpf_ca1__202238_010_edited.swc,40434,pyramidal,True,0.5274,0.6456,0.9632,1489,1038,37906
hpf_ca1__202238_011_edited.swc,31386,pyramidal,True,0.5006,0.6254,0.9503,1561,786,29038
hpf_ca1__202238_014_edited.swc,65862,pyramidal,True,0.5262,0.6447,0.9717,1862,1279,62720
hpf_ca1__202238_016_edited.swc,19790,pyramidal,True,0.5069,0.6302,0.9237,1510,820,17459
hpf_ca1__202238_019_edited.swc,41092,pyramidal,True,0.491,0.6183,0.9463,2207,991,37892
hpf_ca1__202238_020_edited.swc,57572,pyramidal,True,0.4893,0.6169,0.9699,1734,762,55075
hpf_ca1__202238_021_edited.swc,52353,pyramidal,True,0.5185,0.6389,0.9626,1960,1225,49167
hpf_ca1__202238_036_edited.swc,20839,pyramidal,True,0.5421,0.6566,0.9413,1224,1026,18588
hpf_ca1__202238_041_edited.swc,55049,pyramidal,True,0.5294,0.647,0.9627,2051,1464,51533
hpf_ca1__202238_097_edited.swc,35113,pyramidal,True,0.5391,0.6543,0.9616,1349,1088,32675
hpf_ca1__202240_008_edited.swc,33251,pyramidal,True,0.5243,0.6432,0.9611,1291,866,31066
hpf_ca1__202240_009_edited.swc,19540,pyramidal,True,0.5028,0.6271,0.9499,979,506,18051
hpf_ca1__202240_011_edited.swc,52432,pyramidal,True,0.5131,0.6348,0.9446,2902,1699,47824
hpf_ca1__202240_013_edited.swc,61254,pyramidal,True,0.4997,0.6247,0.9446,3394,1690,56161
hpf_ca1__202240_015_edited.swc,11017,pyramidal,True,1.0,1.0,1.0,1495,1459,8059
hpf_ca1__202240_019_edited.swc,18799,pyramidal,True,0.3333,0.5,0.0735,2621,1380,14794
hpf_ca1__202240_020_edited.swc,13922,interneuron,False,0.4745,0.6059,0.8811,1655,608,11658
hpf_ca1__202240_021_edited.swc,18234,pyramidal,True,1.0,1.0,1.0,2463,1227,14538
hpf_ca1__202240_040_edited.swc,16066,pyramidal,True,0.4847,0.6136,0.9187,1305,543,14211
hpf_ca1__202241_002_edited.swc,44226,pyramidal,True,1.0,1.0,1.0,2376,1933,39913
hpf_ca1__202241_003_edited.swc,30724,interneuron,False,0.3945,0.5459,0.7053,9054,1018,20648
hpf_ca1__202241_004_edited.swc,15094,interneuron,False,0.4982,0.6236,0.8781,1838,899,12344
hpf_ca1__202241_005_edited.swc,22133,pyramidal,True,0.4871,0.6153,0.9103,1985,850,19287
hpf_ca1__202241_009_edited.swc,20032,pyramidal,True,1.0,1.0,1.0,2019,1326,16677
hpf_ca1__202241_011_edited.swc,26698,pyramidal,True,0.5108,0.6331,0.9126,2333,1328,23024
hpf_ca1__202241_012_edited.swc,12322,interneuron,False,0.5319,0.6489,0.8773,1512,1114,9693
hpf_ca1__202241_016_edited.swc,19712,pyramidal,True,0.5615,0.6711,0.9077,1820,1975,15913
hpf_ca1__202242_001_edited.swc,29971,pyramidal,True,0.5035,0.6276,0.9174,2475,1290,26204
hpf_ca1__202242_002_edited.swc,29425,pyramidal,True,0.4691,0.6018,0.8533,4316,1483,23625
hpf_ca1__202242_003_edited.swc,21027,pyramidal,True,0.52,0.64,0.9238,1602,1019,18405
hpf_ca1__202242_004_edited.swc,11334,interneuron,False,0.5184,0.6388,0.8691,1484,926,8923
hpf_ca1__202242_005_edited.swc,28803,interneuron,False,0.354,0.5155,0.9366,1274,622,26906
hpf_ca1__202243_001_edited.swc,14512,interneuron,False,0.5285,0.6464,0.8983,1476,1043,11990
hpf_ca1__202243_002_edited.swc,16521,interneuron,False,0.3895,0.5421,0.7806,1792,565,14159
hpf_ca1__202243_003_edited.swc,16874,pyramidal,True,0.5058,0.6293,0.9042,1616,866,14389
hpf_ca1__202243_004_edited.swc,21088,pyramidal,True,0.4811,0.6108,0.8958,2197,875,18011
hpf_ca1__202243_008_edited.swc,26979,pyramidal,True,0.5442,0.6581,0.9069,2512,2162,22303
hpf_ca1__202243_009_edited.swc,17660,pyramidal,True,0.5884,0.6913,0.9191,2225,1435,13999
hpf_ca1__202243_010_edited.swc,20445,pyramidal,True,0.4723,0.6042,0.8471,3126,1117,16200
hpf_ca1__202243_011_edited.swc,26842,pyramidal,True,0.6163,0.7122,0.9292,1899,5330,19610
hpf_ca1__202243_012_edited.swc,11273,pyramidal,True,0.443,0.5822,0.7777,2506,614,8152
hpf_ca1__202243_013_edited.swc,37867,interneuron,False,0.5241,0.6431,0.9528,1788,1196,34880
hpf_ca1__202243_015_edited.swc,6058,pyramidal,True,0.1748,0.3811,0.2133,2424,1291,2341
hpf_ca1__202243_016_edited.swc,7203,pyramidal,True,0.0762,0.3072,0.0793,2787,1299,3116
hpf_ca1__202244_001_edited.swc,16261,pyramidal,True,0.5552,0.6664,0.8729,2067,2058,12131
hpf_ca1__202244_002_edited.swc,10527,pyramidal,True,0.5214,0.6411,0.8334,1754,1136,7636
hpf_ca1__202244_004_edited.swc,18757,pyramidal,True,0.5576,0.6682,0.9081,1723,1771,15260
hpf_ca1__202244_005_edited.swc,16774,pyramidal,True,0.5503,0.6627,0.9075,1552,1446,13773
hpf_ca1__202244_006_edited.swc,26558,pyramidal,True,0.4965,0.6224,0.9263,1956,938,23656
hpf_ca1__202244_007_edited.swc,12143,pyramidal,True,0.3255,0.4941,0.8954,744,526,10869
hpf_ca1__202244_008_edited.swc,9690,pyramidal,True,0.5024,0.6268,0.7926,2009,1034,6643
hpf_ca1__202244_009_edited.swc,49317,pyramidal,True,0.5607,0.6705,0.9552,2207,2367,44727
hpf_ca1__202244_016_edited.swc,2222,interneuron,False,0.5,0.6667,0.6679,738,0,1483
hpf_ca1__202244_018_edited.swc,2053,interneuron,False,0.5,0.6667,0.6649,688,0,1364
hpf_ca1__202244_019_edited.swc,2467,pyramidal,True,0.0,0.3333,0.0004,865,0,1599
hpf_ca1__202244_020_edited.swc,1941,pyramidal,True,0.5,0.6667,0.5899,796,0,1144
hpf_ca1__202246_001_edited.swc,32941,pyramidal,True,0.6289,0.7217,0.9334,2195,8583,22158
hpf_ca1__202246_002_edited.swc,33186,interneuron,False,0.5588,0.6691,0.9677,1073,1122,30975
hpf_ca1__202246_017_edited.swc,46720,pyramidal,True,0.3993,0.5495,0.9535,2173,268,44277
hpf_ca1__202246_025_edited.swc,31673,pyramidal,True,0.5092,0.6319,0.9287,2259,1261,28147
hpf_ca1__202246_026_edited.swc,14784,pyramidal,True,1.0,1.0,1.0,1320,572,12891
hpf_ca1__202246_027_edited.swc,16827,pyramidal,True,0.5097,0.6323,0.9013,1660,933,14231
hpf_ca1__202246_028_edited.swc,53427,pyramidal,True,0.5092,0.6319,0.9433,3029,1692,48699
hpf_ca1__202246_030_edited.swc,42435,pyramidal,True,0.4977,0.6233,0.958,1783,867,39776
hpf_ca1__202246_031_edited.swc,22284,pyramidal,True,0.4976,0.6232,0.9155,1883,915,19482
hpf_ca1__202246_032_edited.swc,63313,pyramidal,True,0.4476,0.5857,0.9544,2884,752,59675
hpf_ca1__202248_001_edited.swc,29389,pyramidal,True,0.5673,0.6755,0.9326,1980,2330,25073
hpf_ca1__202248_005_edited.swc,13865,pyramidal,True,0.5024,0.6268,0.8622,1911,983,10968
hpf_ca1__202248_008_edited.swc,18452,pyramidal,True,0.4894,0.617,0.9019,1809,796,15836
hpf_ca1__202248_009_edited.swc,12469,pyramidal,True,0.5051,0.6288,0.8744,1565,832,10065
hpf_ca1__202248_016_edited.swc,14839,pyramidal,True,0.5238,0.6428,0.8953,1553,1035,12244
hpf_ca1__202248_018_edited.swc,14799,pyramidal,True,0.5632,0.6724,0.8777,1810,2011,10975
hpf_ca1__202248_019_edited.swc,8697,interneuron,False,0.5159,0.6369,0.8641,1181,715,6794
hpf_ca1__202248_022_edited.swc,13308,interneuron,False,0.3924,0.5443,0.8098,1673,1174,10456
hpf_ca1__202248_023_edited.swc,4011,pyramidal,True,0.3333,0.5,0.1773,1954,710,1346
hpf_ca1__202248_024_edited.swc,24732,pyramidal,True,0.5195,0.6397,0.912,2176,1377,21178
hpf_ca1__202249_005_edited.swc,58625,pyramidal,True,0.5381,0.6535,0.9524,2789,2220,53614
hpf_ca1__202249_006_edited.swc,71048,pyramidal,True,0.5288,0.6466,0.9664,2390,1695,66962
hpf_ca1__202249_007_edited.swc,26141,pyramidal,True,0.5301,0.6476,0.944,1465,1055,23617
hpf_ca1__202249_008_edited.swc,24715,pyramidal,True,0.5099,0.6324,0.927,1804,1016,21887
hpf_ca1__202249_011_edited.swc,17644,interneuron,False,0.6455,0.7341,0.8902,1933,1061,14644
hpf_ca1__202249_014_edited.swc,33233,pyramidal,True,1.0,1.0,1.0,1848,1474,29906
hpf_ca1__202249_015_edited.swc,33834,interneuron,False,0.6245,0.7184,0.9874,427,1476,31929
hpf_ca1__202249_016_edited.swc,34660,interneuron,False,0.5469,0.6602,0.9653,1204,1074,32370
hpf_ca1__202249_017_edited.swc,25345,pyramidal,True,1.0,1.0,1.0,1749,746,22844
hpf_ca1__202250_001_edited.swc,28466,pyramidal,True,0.5031,0.6273,0.9412,1674,869,25922
hpf_ca1__202250_003_edited.swc,11898,pyramidal,True,1.0,1.0,1.0,1379,873,9645
hpf_ca1__202250_004_edited.swc,30531,interneuron,False,0.5351,0.6513,0.9547,1382,1060,28088
hpf_ca1__202250_007_edited.swc,16084,pyramidal,True,0.5342,0.6507,0.8514,2390,1813,11878
hpf_ca1__202250_019_edited.swc,4493,pyramidal,True,0.1196,0.3397,0.1594,1219,715,2557
hpf_ca1__202251_032_edited.swc,13612,pyramidal,True,0.4395,0.5796,0.8768,1677,392,11542
hpf_ca1__202251_034_edited.swc,22589,pyramidal,True,0.5371,0.6528,0.9412,1329,1045,20214
hpf_ca1__202252_002_edited.swc,25003,interneuron,False,0.6466,0.735,0.9775,563,4398,20040
hpf_ca1__202252_003_edited.swc,24673,pyramidal,True,0.5096,0.6322,0.9132,2141,1201,21330
hpf_ca1__202252_004_edited.swc,25228,interneuron,False,0.5229,0.6422,0.9313,1733,1143,22350
hpf_ca1__202252_005_edited.swc,41020,pyramidal,True,0.6196,0.7147,0.9539,1891,5745,33383
hpf_ca1__202252_006_edited.swc,31045,pyramidal,True,0.4937,0.6203,0.9195,2499,1159,27386
hpf_ca1__202252_007_edited.swc,24544,pyramidal,True,0.4546,0.591,0.8873,2766,791,20986
hpf_ca1__202252_008_edited.swc,20742,pyramidal,True,0.503,0.6272,0.9059,1951,1011,17779
hpf_ca1__202252_009_edited.swc,10325,interneuron,False,0.522,0.6415,0.8462,1588,1036,7700
hpf_ca1__202252_010_edited.swc,11173,pyramidal,True,0.5253,0.644,0.8616,1546,1050,8576
hpf_ca1__202252_011_edited.swc,68446,interneuron,False,0.5851,0.6888,0.988,820,1266,66359
hpf_ca1__202255_007_edited.swc,14447,interneuron,False,0.5242,0.6432,0.8679,1909,1279,11258
hpf_ca1__202256_040_edited.swc,36283,pyramidal,True,0.433,0.5748,0.9142,1802,728,33717
hpf_ca1__202258_019_edited.swc,53511,pyramidal,True,0.5421,0.6566,0.966,1819,1525,50159
hpf_ca1__202258_024_edited.swc,45054,pyramidal,True,0.5003,0.6252,0.9712,1293,649,43007
hpf_ca1__202258_026_edited.swc,81411,pyramidal,True,1.0,1.0,1.0,3180,828,77393
hpf_ca1__202258_042_edited.swc,80616,pyramidal,True,0.5144,0.6358,0.9606,3180,1891,75542
hpf_ca1__202258_044_edited.swc,46542,pyramidal,True,0.5074,0.6305,0.9523,2220,1213,43105
hpf_ca1__202258_045_edited.swc,93614,pyramidal,True,0.5175,0.6381,0.9681,2988,1844,88771
hpf_ca1__202258_048_edited.swc,40801,pyramidal,True,0.4685,0.6014,0.9567,1768,603,38423
hpf_ca1__202258_049_edited.swc,33593,pyramidal,True,0.4807,0.6105,0.9541,1540,610,31421
hpf_ca1__202259_054_edited.swc,26126,pyramidal,True,0.5212,0.6409,0.9664,877,566,24678
hpf_ca1__202259_060_edited.swc,32050,pyramidal,True,1.0,1.0,1.0,1401,827,29816
hpf_ca1__202259_063_edited.swc,85190,interneuron,False,0.529,0.6468,0.9759,2056,1462,81661
hpf_ca1__202259_064_edited.swc,55128,pyramidal,True,0.347,0.5103,0.9594,1427,861,52827
hpf_ca1__202259_069_edited.swc,65527,pyramidal,True,0.5467,0.6601,0.9816,1207,1074,63238
hpf_ca1__202259_070_edited.swc,55269,pyramidal,True,0.5207,0.6405,0.9661,1874,1203,52186
hpf_ca1__202259_076_edited.swc,39141,pyramidal,True,0.4832,0.6124,0.962,1489,608,37035
hpf_ca1__202259_077_edited.swc,82550,pyramidal,True,0.4858,0.6143,0.9737,2171,915,79447
hpf_ca1__202259_079_edited.swc,54665,pyramidal,True,0.364,0.523,0.956,2405,122,52129
hpf_ca1__202259_088_edited.swc,44409,pyramidal,True,0.4833,0.6125,0.9494,2244,918,41228
hpf_ca1__202259_130_edited.swc,82953,pyramidal,True,0.473,0.6047,0.968,2655,957,79326
hpf_ca1__202259_134_edited.swc,59347,pyramidal,True,0.4524,0.5893,0.9678,1912,531,56885
hpf_ca1__202260_002_edited.swc,45091,pyramidal,True,0.5172,0.6379,0.9612,1747,1075,42252
hpf_ca1__202260_003_edited.swc,84901,pyramidal,True,0.5347,0.651,0.9711,2450,1869,80579
hpf_ca1__202261_005_edited.swc,37599,interneuron,False,0.5861,0.6896,0.9748,947,1485,35148
hpf_ca1__202261_006_edited.swc,48601,pyramidal,True,1.0,1.0,1.0,2039,1105,45438
hpf_ca1__202261_007_edited.swc,58220,pyramidal,True,0.9294,0.9471,0.9951,1829,990,55387
hpf_ca1__202261_008_edited.swc,64695,pyramidal,True,0.5183,0.6387,0.9689,2010,1253,61414
hpf_ca1__202261_009_edited.swc,83139,pyramidal,True,0.5286,0.6465,0.969,2576,1822,78736
hpf_ca1__202261_010_edited.swc,57743,pyramidal,True,0.5276,0.6457,0.9679,1854,1295,54586
hpf_ca1__202261_011_edited.swc,51978,pyramidal,True,0.4881,0.6161,0.9626,1942,842,49174
hpf_ca1__202261_012_edited.swc,36860,pyramidal,True,1.0,1.0,1.0,2142,916,33794
hpf_ca1__202261_013_edited.swc,64720,pyramidal,True,0.6666,0.7499,0.978,1906,1054,61753
hpf_ca1__202261_016_edited.swc,38091,pyramidal,True,0.5955,0.6966,0.9509,1868,3439,32773
hpf_ca1__202261_017_edited.swc,45215,pyramidal,True,0.522,0.6415,0.9611,1760,1147,42300
hpf_ca1__202261_018_edited.swc,40024,pyramidal,True,0.4485,0.5864,0.9202,3190,842,35964
hpf_ca1__202261_019_edited.swc,37368,pyramidal,True,0.4411,0.5809,0.9151,2977,952,33422
hpf_ca1__202261_021_edited.swc,50536,pyramidal,True,0.5401,0.6551,0.9363,3164,2684,44665
hpf_ca1__202261_023_edited.swc,38659,pyramidal,True,1.0,1.0,1.0,1298,639,36711
hpf_ca1__202261_024_edited.swc,41246,pyramidal,True,0.5013,0.626,0.9543,1884,957,38388
