method,file,cell_type,n_nodes,accuracy,neurite_macro_f1
neurom_rf,hpf_ca1__202664_004_edited.swc,pyramidal,29137,0.9567,0.8343
neurom_rf,hpf_ca1__202664_011_edited.swc,pyramidal,29016,0.9667,0.8972
neurom_rf,hpf_ca1__202666_007_edited.swc,pyramidal,36296,0.9583,0.8143
neurom_rf,hpf_ca1__202666_021_edited.swc,pyramidal,14070,0.9308,0.7926
neurom_rf,hpf_ca1__202666_023_edited.swc,pyramidal,26025,0.9676,0.8305
neurom_rf,hpf_ca1__202668_001_edited.swc,pyramidal,54453,0.8359,0.8023
neurom_rf,hpf_ca1__202668_019_edited.swc,pyramidal,29031,0.9822,0.8698
neurom_rf,hpf_ca1__202669_011_edited.swc,pyramidal,47086,0.9422,0.7100
neurom_rf,hpf_ca1__202669_013_edited.swc,pyramidal,20572,0.9226,0.8746
neurom_rf,hpf_ca1__202669_014_edited.swc,pyramidal,34142,0.9714,0.8402
neurom_rf,hpf_ca1__202671_012_edited.swc,pyramidal,15254,0.9025,0.7992
neurom_rf,hpf_ca1__202674_001_edited.swc,pyramidal,32716,0.9643,0.8507
neurom_rf,hpf_ca1__202674_003_edited.swc,pyramidal,17479,0.6988,0.6639
neurom_rf,hpf_ca1__202674_006_edited.swc,pyramidal,38871,0.9647,0.8255
neurom_rf,hpf_ca1__202674_035_edited.swc,pyramidal,45387,0.8441,0.8205
neurom_rf,hpf_ca1__202674_041_edited.swc,pyramidal,3799,0.7497,0.7974
neurom_rf,hpf_ca1__202679_004_edited.swc,pyramidal,46331,0.9552,0.6502
neurom_rf,hpf_ca1__202679_020_edited.swc,pyramidal,30391,0.9680,0.8895
neurom_rf,hpf_ca1__202679_023_edited.swc,pyramidal,21367,0.6340,0.6218
neurom_rf,hpf_ca1__202679_024_edited.swc,pyramidal,22117,0.9603,0.8262
neurom_rf,hpf_ca1__202679_026_edited.swc,pyramidal,23480,0.9474,0.8578
neurom_rf,hpf_ca1__202680_001_edited.swc,pyramidal,45108,0.8672,0.9168
neurom_rf,hpf_ca1__202680_003_edited.swc,pyramidal,24213,0.9550,0.8570
neurom_rf,hpf_ca1__202680_006_edited.swc,pyramidal,25446,0.9532,0.8723
neurom_rf,hpf_ca1__202680_011_edited.swc,pyramidal,12491,0.9544,0.8981
neurom_rf,hpf_ca1__202680_012_edited.swc,pyramidal,99876,0.9332,0.4310
neurom_rf,hpf_ca1__202680_030_edited.swc,pyramidal,27997,0.9304,0.8121
neurom_rf,hpf_ca1__202681_016_edited.swc,pyramidal,16928,0.9537,0.8958
neurom_rf,hpf_ca1__202682_015_edited.swc,pyramidal,38863,0.9510,0.8583
neurom_rf,hpf_ca1__202682_017_edited.swc,pyramidal,16363,0.9533,0.8637
neurom_rf,hpf_ca1__202803_002_edited.swc,pyramidal,58789,0.9788,0.8595
neurom_rf,hpf_ca1__202807_022_edited.swc,pyramidal,75846,0.9882,0.9186
