file,cell_type_gt,held_out_F1,in_bottom,n_categories,categories
neuromorpho__614_4_C4.swc,interneuron,0.3818,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__092303a.swc,interneuron,0.3852,yes,2,BASAL_LOST|STAGE1_PROPAGATION
neuromorpho__207B-2-L2.swc,pyramidal,0.3859,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|TRUNCATED_APICAL
neuromorpho__4_53.swc,pyramidal,0.3865,yes,1,BASAL_LOST
neuromorpho__X043_S5_Z1_C01.swc,pyramidal,0.3878,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|TRUNCATED_APICAL
neuromorpho__KO2-neuron5_a.swc,pyramidal,0.3889,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|BASAL_LOST|TRUNCATED_APICAL
neuromorpho__cM2p_14.swc,pyramidal,0.3893,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED
neuromorpho__X046_S6_Z1_C01.swc,pyramidal,0.3902,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|TRUNCATED_APICAL
neuromorpho__Cell41.swc,interneuron,0.3912,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__25o_pyramidal18aFI.swc,pyramidal,0.3929,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|STAGE1_PROPAGATION
neuromorpho__262_1a.swc,interneuron,0.3952,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__Neuron1_2.swc,pyramidal,0.3957,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__X043_S2_Z5_C01.swc,pyramidal,0.3961,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|TRUNCATED_APICAL
neuromorpho__KO4-5-1-6.swc,pyramidal,0.3973,yes,2,AXON_DENDRITE_CONFUSION|TRUNCATED_APICAL
neuromorpho__391-04.swc,pyramidal,0.3981,yes,2,AXON_DENDRITE_CONFUSION|STAGE1_PROPAGATION
neuromorpho__241-2-87LU.swc,pyramidal,0.3987,yes,1,BASAL_LOST
neuromorpho__236-1-2LS.swc,pyramidal,0.4009,yes,2,APICAL_UNDERPREDICTED|APICAL_INVERTED
neuromorpho__07b_pyramidal14aACC.swc,pyramidal,0.4012,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|TRUNCATED_APICAL
neuromorpho__1A4.swc,pyramidal,0.4021,yes,1,BASAL_LOST
neuromorpho__1085-2-Sec5-LTL3.swc,pyramidal,0.4033,yes,2,APICAL_MISSED|APICAL_UNDERPREDICTED
neuromorpho__HIP_CA1_WT_2.swc,pyramidal,0.4056,yes,1,BASAL_LOST
neuromorpho__Wang_Lefebvre_Cell10.swc,interneuron,0.4067,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__1128-2-Sec2-LTL2.swc,pyramidal,0.4076,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED
neuromorpho__X046_S1_Z2_C04.swc,pyramidal,0.4095,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|TRUNCATED_APICAL
neuromorpho__I5-16.swc,pyramidal,0.4095,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|TRUNCATED_APICAL
neuromorpho__Delayed4_4224_neurobiotin_TH.swc,interneuron,0.4116,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__236-2-66LS.swc,pyramidal,0.4118,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__241-2-33VN.swc,pyramidal,0.414,yes,2,APICAL_UNDERPREDICTED|APICAL_INVERTED
neuromorpho__241-2-74LU.swc,pyramidal,0.4162,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__KO2-neuron10.swc,pyramidal,0.4167,yes,2,AXON_DENDRITE_CONFUSION|STAGE1_PROPAGATION
neuromorpho__Strokefeb23IR3-3i40xlowres.swc,pyramidal,0.4188,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|STAGE1_PROPAGATION
neuromorpho__10o27c7.swc,pyramidal,0.42,yes,2,AXON_DENDRITE_CONFUSION|STAGE1_PROPAGATION
neuromorpho__G7-1.swc,pyramidal,0.4244,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED
neuromorpho__1083-1-Sec6-LTL3.swc,pyramidal,0.4268,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|TRUNCATED_APICAL
neuromorpho__19_den_ax.swc,pyramidal,0.4269,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|BASAL_LOST
neuromorpho__08-10-15-C.swc,interneuron,0.4271,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__20171005C01.swc,pyramidal,0.4278,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|STAGE1_PROPAGATION
neuromorpho__C1005-2KO-whole-8.swc,pyramidal,0.4286,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|TRUNCATED_APICAL
neuromorpho__517s1c1.swc,pyramidal,0.4295,yes,5,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|TRUNCATED_APICAL|STAGE1_PROPAGATION
neuromorpho__241-3-35LU.swc,pyramidal,0.4315,yes,1,AXON_DENDRITE_CONFUSION
hpf_ca1__202224_005_edited.swc,pyramidal,0.4322,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|BASAL_LOST
neuromorpho__236-2-82LS.swc,pyramidal,0.4324,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__1116-3-Sec2-LTL1.swc,pyramidal,0.4341,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|TRUNCATED_APICAL
neuromorpho__236-2-5LS.swc,pyramidal,0.4352,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__1071-2-Sec2-LTL2.swc,pyramidal,0.4356,yes,2,APICAL_MISSED|APICAL_UNDERPREDICTED
neuromorpho__46-Neurone-2.swc,pyramidal,0.4389,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|TRUNCATED_APICAL
neuromorpho__24-07-15-A.swc,interneuron,0.4412,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__C10-23.swc,pyramidal,0.4412,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|TRUNCATED_APICAL
