path,rel_path,cell_type,source,n_bytes,parseable,non_empty,has_soma,single_root,no_orphan,has_neurites,radius_positive,coords_finite,reasonable_size,n_nodes,n_soma,n_axon,n_basal,n_apical,n_other,n_roots,n_orphan,n_custom_type_nodes_raw,custom_type_values_raw,n_soma_raw,n_soma_groups,n_soma_nodes_removed,n_nodes_raw,qc_pass,qc_reason
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202251_034_edited.swc,pyramidal/swc/hpf_ca1__202251_034_edited.swc,pyramidal,hpf_ca1,1278398,True,True,True,True,True,True,True,True,True,22589,1,20214,1045,1329,0,1,0,0,,1,1,0,22589,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202252_001_edited.swc,pyramidal/swc/hpf_ca1__202252_001_edited.swc,pyramidal,hpf_ca1,2787931,True,True,True,True,True,True,True,True,True,48744,1,46212,2531,0,0,1,0,0,,1,1,0,48744,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202252_002_edited.swc,pyramidal/swc/hpf_ca1__202252_002_edited.swc,pyramidal,hpf_ca1,1419388,True,True,True,True,True,True,True,True,True,25003,1,20040,4399,563,0,1,0,1,10:1,1,1,0,25003,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202252_003_edited.swc,pyramidal/swc/hpf_ca1__202252_003_edited.swc,pyramidal,hpf_ca1,1400263,True,True,True,True,True,True,True,True,True,24673,1,21330,1201,2141,0,1,0,0,,1,1,0,24673,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202252_004_edited.swc,pyramidal/swc/hpf_ca1__202252_004_edited.swc,pyramidal,hpf_ca1,1432203,True,True,True,True,True,True,True,True,True,25228,1,22350,1144,1733,0,1,0,1,12:1,1,1,0,25228,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202252_005_edited.swc,pyramidal/swc/hpf_ca1__202252_005_edited.swc,pyramidal,hpf_ca1,2342705,True,True,True,True,True,True,True,True,True,41020,1,33383,5745,1891,0,1,0,0,,1,1,0,41020,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202252_006_edited.swc,pyramidal/swc/hpf_ca1__202252_006_edited.swc,pyramidal,hpf_ca1,1767736,True,True,True,True,True,True,True,True,True,31045,1,27386,1159,2499,0,1,0,0,,1,1,0,31045,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202252_007_edited.swc,pyramidal/swc/hpf_ca1__202252_007_edited.swc,pyramidal,hpf_ca1,1393088,True,True,True,True,True,True,True,True,True,24544,1,20986,791,2766,0,1,0,0,,1,1,0,24544,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202252_008_edited.swc,pyramidal/swc/hpf_ca1__202252_008_edited.swc,pyramidal,hpf_ca1,1173707,True,True,True,True,True,True,True,True,True,20742,1,17779,1011,1951,0,1,0,0,,1,1,0,20742,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202252_009_edited.swc,pyramidal/swc/hpf_ca1__202252_009_edited.swc,pyramidal,hpf_ca1,573352,True,True,True,True,True,True,True,True,True,10325,1,7700,1036,1588,0,1,0,0,,1,1,0,10325,True,
