family,scope,experiment,target,target_recall_setting,model,feature_set,precision,recall,flagged_total,actually_bad_flagged_tp,false_flags_fp,missed_bad_fn,bad_total_in_test,accuracy,kept_f1_p10,saved_bundle,source
3 + sanity/failure-head sweep,interneuron,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060,0.5,two_stage,max_validation_percentile,0.0,0.0,3,0,3,7,7,0.9242424242424242,0.9999,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_cell_f060,cell_f060,0.7,hgb,full,0.1176470588235294,0.2857142857142857,17,2,15,5,7,0.8484848484848485,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_cell_f060,cell_f060,0.7,hgb,full,0.1052631578947368,0.2857142857142857,19,2,17,5,7,0.8333333333333334,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_failure_head_ranked_against_cell_f060,axon_f050,0.7,extra_trees,numeric_only,0.0666666666666666,0.1428571428571428,15,1,14,6,7,0.8484848484848485,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_failure_head_ranked_against_cell_f060,axon_f050,0.7,extra_trees,full,0.0869565217391304,0.2857142857142857,23,2,21,5,7,0.803030303030303,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_failure_head_ranked_against_cell_f060,basal_f060,0.7,rf,numeric_only,0.081081081081081,0.8571428571428571,74,6,68,1,7,0.4772727272727273,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_failure_head_ranked_against_cell_f060,basal_f060,0.7,hgb,full,0.072463768115942,0.7142857142857143,69,5,64,2,7,0.5,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060,0.7,two_stage,max_validation_percentile,0.1470588235294117,0.7142857142857143,34,5,29,2,7,0.7651515151515151,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060,0.7,two_stage,max_validation_percentile,0.1621621621621621,0.8571428571428571,37,6,31,1,7,0.7575757575757576,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_cell_f060,cell_f060,0.8,logreg,no_lab,0.0769230769230769,0.2857142857142857,26,2,24,5,7,0.7803030303030303,1.0,paper/models/flag_improvement_sweep_seed123_branch3/interneuron_xmodel_cell_f060_r080.joblib,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_cell_f060,cell_f060,0.8,logreg,no_lab,0.1071428571428571,0.4285714285714285,28,3,25,4,7,0.7803030303030303,1.0,paper/models/flag_improvement_sweep_seed123_branch3/interneuron_xmodel_sanity_cell_f060_r080.joblib,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_failure_head_ranked_against_cell_f060,axon_f050,0.8,gb,no_lab,0.1538461538461538,0.5714285714285714,26,4,22,3,7,0.8106060606060606,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_failure_head_ranked_against_cell_f060,axon_f050,0.8,gb,full,0.1538461538461538,0.5714285714285714,26,4,22,3,7,0.8106060606060606,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_failure_head_ranked_against_cell_f060,basal_f060,0.8,extra_trees,full,0.0744680851063829,1.0,94,7,87,0,7,0.3409090909090909,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_failure_head_ranked_against_cell_f060,basal_f060,0.8,rf,no_lab,0.063063063063063,1.0,111,7,104,0,7,0.2121212121212121,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060,0.8,two_stage,max_validation_percentile,0.1320754716981132,1.0,53,7,46,0,7,0.6515151515151515,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060,0.8,two_stage,max_validation_percentile,0.1627906976744186,1.0,43,7,36,0,7,0.7272727272727273,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_cell_f060,cell_f060,0.9,hgb,full,0.0598290598290598,1.0,117,7,110,0,7,0.1666666666666666,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_cell_f060,cell_f060,0.9,rf,numeric_only,0.0673076923076923,1.0,104,7,97,0,7,0.2651515151515151,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_failure_head_ranked_against_cell_f060,axon_f050,0.9,extra_trees,no_lab,0.0721649484536082,1.0,97,7,90,0,7,0.3181818181818182,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_failure_head_ranked_against_cell_f060,axon_f050,0.9,extra_trees,numeric_only,0.0654205607476635,1.0,107,7,100,0,7,0.2424242424242424,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_failure_head_ranked_against_cell_f060,basal_f060,0.9,extra_trees,numeric_only,0.0625,1.0,112,7,105,0,7,0.2045454545454545,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_failure_head_ranked_against_cell_f060,basal_f060,0.9,extra_trees,numeric_only,0.0583333333333333,1.0,120,7,113,0,7,0.1439393939393939,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060,0.9,two_stage,max_validation_percentile,0.056910569105691,1.0,123,7,116,0,7,0.1212121212121212,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
