file,xmodel_v12ens_seed42_axon_frac,xmodel_v12ens_seed42_basal_frac,xmodel_v12ens_seed42_apical_frac,xmodel_v12ens_seed42_class_count,xmodel_v12ens_seed42_v12_l1_frac_delta,xmodel_v12ens_seed42_v12_apical_frac_delta,xmodel_v12ens_seed42_v12_axon_frac_delta,xmodel_v12ens_seed42_v12_apical_zero_mismatch,xmodel_v12ens_seed42_v12_axon_zero_mismatch,xmodel_v12ens_seed42_stage1_is_pyramidal,xmodel_v12ens_seed42_stage1_disagree,xmodel_v12ens_seed42_stage1_conf,xmodel_v12ens_seed789_axon_frac,xmodel_v12ens_seed789_basal_frac,xmodel_v12ens_seed789_apical_frac,xmodel_v12ens_seed789_class_count,xmodel_v12ens_seed789_v12_l1_frac_delta,xmodel_v12ens_seed789_v12_apical_frac_delta,xmodel_v12ens_seed789_v12_axon_frac_delta,xmodel_v12ens_seed789_v12_apical_zero_mismatch,xmodel_v12ens_seed789_v12_axon_zero_mismatch,xmodel_v12ens_seed789_stage1_is_pyramidal,xmodel_v12ens_seed789_stage1_disagree,xmodel_v12ens_seed789_stage1_conf,xmodel_v12ens_l1_mean,xmodel_v12ens_l1_max,xmodel_v12ens_l1_std,xmodel_v12ens_apical_delta_mean,xmodel_v12ens_apical_delta_max,xmodel_v12ens_axon_delta_mean,xmodel_v12ens_axon_delta_max,xmodel_v12ens_apical_present_vote_frac,xmodel_v12ens_axon_present_vote_frac,xmodel_v12ens_apical_presence_disagreement,xmodel_v12ens_axon_presence_disagreement,xmodel_v12ens_class_count_mean,xmodel_v12ens_class_count_std,xmodel_v12ens_stage1_pyramidal_vote_frac,xmodel_v12ens_stage1_disagree_mean,xmodel_v12ens_stage1_conf_mean,xmodel_v12ens_stage1_conf_min,xmodel_v12ens_interseed_l1,xmodel_v12ens_interseed_apical_delta,xmodel_v12ens_interseed_axon_delta
allen__H16.06.010.01.01.10.01_529889679.swc,0.5142905605970656,0.22008311423967433,0.2656263251632601,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9604612588882446,0.5142905605970656,0.22008311423967433,0.2656263251632601,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8652399778366089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.9128506183624268,0.8652399778366089,0.0,0.0,0.0
allen__H16.06.010.01.03.04.01_529807751.swc,0.8955383755588674,0.10446162444113263,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9949468970298767,0.8955383755588674,0.10446162444113263,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9898567199707031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.9924018085002899,0.9898567199707031,0.0,0.0,0.0
allen__H16.06.011.01.01.05.03_539653924.swc,0.006661732050333087,0.5120016918684572,0.48133657608120967,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9826833009719849,0.006661732050333087,0.5120016918684572,0.48133657608120967,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.966962456703186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.9748228788375854,0.966962456703186,0.0,0.0,0.0
allen__H16.06.012.11.06.01_548408551.swc,0.4408683104335278,0.2587991718426501,0.3003325177238221,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9849018454551697,0.4408683104335278,0.2587991718426501,0.3003325177238221,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9544606804847717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.9696812629699707,0.9544606804847717,0.0,0.0,0.0
allen__H16.06.012.11.08.03_548440226.swc,0.6167805797784587,0.37446550621191205,0.008753914009629306,3.0,0.2971617117268779,0.14858085586343894,0.0,0.0,0.0,1.0,0.0,0.9838181138038635,0.6167805797784587,0.2258846503484731,0.15733476987306824,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9311792850494385,0.14858085586343894,0.2971617117268779,0.14858085586343894,0.07429042793171947,0.14858085586343894,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.957498699426651,0.9311792850494385,0.2971617117268779,0.14858085586343894,0.0
allen__H17.03.002.11.06.03_569821470.swc,0.7761989342806395,0.15038484310242747,0.07341622261693309,3.0,0.14683244523386618,0.07341622261693309,0.0,1.0,0.0,1.0,1.0,0.8031795620918274,0.7761989342806395,0.22380106571936056,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4525572657585144,0.07341622261693309,0.14683244523386618,0.07341622261693309,0.036708111308466546,0.07341622261693309,0.0,0.0,0.5,1.0,1.0,0.0,2.5,0.5,0.5,0.5,0.6278684139251709,0.4525572657585144,0.14683244523386618,0.07341622261693309,0.0
allen__H17.03.009.11.11.06_613442532.swc,0.01078971533516988,0.4221763085399449,0.5670339761248853,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9071680307388306,0.01078971533516988,0.4221763085399449,0.5670339761248853,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.831610381603241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.8693892061710358,0.831610381603241,0.0,0.0,0.0
allen__H17.06.005.12.12.03_571525618.swc,0.8229588704726827,0.17704112952731738,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.902330756187439,0.8229588704726827,0.17704112952731738,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9425109624862671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.922420859336853,0.902330756187439,0.0,0.0,0.0
allen__H17.06.009.11.04.03_596028822.swc,0.9137566137566138,0.08624338624338625,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9140245914459229,0.9137566137566138,0.08624338624338625,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7477211952209473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.8308728933334351,0.7477211952209473,0.0,0.0,0.0
allen__H17.06.009.11.04.04_596036453.swc,0.7880779159821638,0.2119220840178362,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9968045353889465,0.7880779159821638,0.2119220840178362,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9890605211257935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.99293252825737,0.9890605211257935,0.0,0.0,0.0
