scope,feature_mode,operating_point,target_value,n_folds,precision_lt_target_mean,precision_lt_target_sd,recall_lt_target_mean,recall_lt_target_sd,binary_accuracy_mean,binary_accuracy_sd,reject_rate_mean,reject_rate_sd,n_rejected_mean,n_rejected_sd,tp_mean,tp_sd,fp_mean,fp_sd,fn_mean,fn_sd,kept_f1_p10_mean,kept_f1_p10_sd,test_ap_mean,test_ap_sd,test_auc_mean,test_auc_sd
interneuron,v12_oof,fixed_reject_rate,0.15,3,0.17994666133279993,0.03550795144257573,0.6065254058612691,0.06260708125508149,0.8593086236921854,0.0063762675622409766,0.15,0.0,100.0,1.0,18.0,3.605551275463989,82.0,3.4641016151377544,11.666666666666666,2.8867513459481287,1.0,0.0,0.3115912900440528,0.09944019957079929,0.8418228732857899,0.03444665547382474
interneuron,v12_oof,validation_recall,0.5,3,0.2535725427752995,0.07652916075169568,0.47227493147796756,0.1397925781376472,0.9145051901216285,0.01077676264840566,0.08393288265434384,0.02115137926981086,56.0,14.798648586948742,14.333333333333334,5.686240703077327,41.666666666666664,10.96965511460289,15.333333333333334,3.055050463303893,1.0,0.0,0.3115912900440528,0.09944019957079929,0.8418228732857899,0.03444665547382474
interneuron,v12_oof,validation_recall,0.7,3,0.18736167075720842,0.0552609404314455,0.5802498418722327,0.09550324798056777,0.8634300967634302,0.032131404501151394,0.1430026373405369,0.036949845247473356,95.33333333333333,25.02665245959462,17.0,2.6457513110645907,78.33333333333333,25.77466456296441,12.666666666666666,4.725815626252608,1.0,0.0,0.3115912900440528,0.09944019957079929,0.8418228732857899,0.03444665547382474
interneuron,v12_oof,validation_recall,0.8,3,0.17348732613026033,0.0472530449857311,0.5910025300442757,0.10752510858194986,0.8523972374200685,0.028649412622580164,0.15502315100488617,0.03301792282811296,103.33333333333333,22.501851775650227,17.333333333333332,3.2145502536643185,86.0,23.259406699226016,12.333333333333334,4.932882862316248,1.0,0.0,0.3115912900440528,0.09944019957079929,0.8418228732857899,0.03444665547382474
interneuron,v12_oof,validation_recall,0.9,3,0.12767249080782453,0.050670097127763374,0.7727703984819735,0.02209322774610058,0.7319077067935514,0.08883781181822342,0.2926404943756542,0.08486394183292614,194.66666666666666,55.71654452075553,23.0,4.58257569495584,171.66666666666666,59.095967149487734,6.666666666666667,0.5773502691896258,1.0,0.0,0.3115912900440528,0.09944019957079929,0.8418228732857899,0.03444665547382474
pyramidal,baseline_oof,fixed_reject_rate,0.05,3,0.7025513719415765,0.1488402196398834,0.402291524091641,0.046547561365170985,0.9332215236007021,0.008077307675113127,0.05000000000000001,8.498374721940739e-18,83.66666666666667,3.055050463303893,59.0,13.892443989449804,24.666666666666668,11.590225767142472,87.33333333333333,18.929694486000912,0.7669633333333334,0.09138859575096518,0.611822736529761,0.10691209078207745,0.9187982927207828,0.008917056985416979
pyramidal,baseline_oof,fixed_reject_rate,0.1,3,0.5566993388624741,0.06564241588973059,0.6441976751737126,0.0599384997545044,0.9243175104025729,0.008731729166859022,0.10000000000000002,1.6996749443881478e-17,167.33333333333334,6.110100926607786,93.33333333333333,13.316656236958787,74.0,9.16515138991168,53.0,19.28730152198591,0.8965166666666665,0.08144498654511112,0.611822736529761,0.10691209078207745,0.9187982927207828,0.008917056985416979
pyramidal,baseline_oof,fixed_reject_rate,0.15,3,0.4403876934559461,0.04899229247623622,0.7647179886805837,0.04897866585216434,0.8951144335821494,0.001918397149735631,0.15,0.0,251.33333333333334,9.71253485622231,111.0,16.703293088490067,140.33333333333334,7.023769168568492,35.333333333333336,13.576941236277534,0.9641000000000001,0.025978691268037275,0.611822736529761,0.10691209078207745,0.9187982927207828,0.008917056985416979
pyramidal,baseline_oof,validation_recall,0.5,3,0.6984077218498035,0.16249898673944135,0.3691262003360191,0.0863867502700302,0.9295280459389591,0.011217308231779325,0.04645014470039275,0.010991734825229051,77.33333333333333,15.56705923844749,52.666666666666664,8.962886439832502,24.666666666666668,17.672954855748753,93.66666666666667,31.182259913824932,0.7636733333333333,0.10505780567541534,0.611822736529761,0.10691209078207745,0.9187982927207828,0.008917056985416979
pyramidal,baseline_oof,validation_recall,0.7,3,0.5963478092546369,0.13721853220079175,0.6073764363653318,0.13566740748484724,0.9250831361853588,0.013543197724402859,0.09108438760160058,0.029913730276409364,151.66666666666666,45.17004907384243,86.33333333333333,4.618802153517006,65.33333333333333,42.335957923889396,60.0,30.199337741083,0.8601833333333334,0.11727795373953853,0.611822736529761,0.10691209078207745,0.9187982927207828,0.008917056985416979
