file,cell_type_gt,n_nodes,accuracy,neurite_macro_f1,soma_f1,axon_f1,basal_f1,apical_f1,pred_soma,pred_axon,pred_basal,pred_apical
hpf_ca1__202426_009_edited.swc,pyramidal,66598,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,62548,1770,2279
hpf_ca1__202426_023_edited.swc,pyramidal,21107,1.000000,1.000000,1.000000,1.000000,1.000000,,1,18083,3023,0
hpf_ca1__202426_024_edited.swc,pyramidal,17150,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,13299,1804,2046
hpf_ca1__202426_044_edited.swc,pyramidal,62280,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,57993,1676,2610
hpf_ca1__202426_054_edited.swc,pyramidal,31714,1.000000,1.000000,1.000000,1.000000,1.000000,,1,30400,1313,0
hpf_ca1__202427_027_edited.swc,pyramidal,41412,1.000000,1.000000,1.000000,1.000000,1.000000,,1,39072,2339,0
hpf_ca1__202427_048_edited.swc,pyramidal,51550,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,47427,1643,2479
hpf_ca1__202427_135_edited.swc,pyramidal,20847,1.000000,1.000000,1.000000,1.000000,1.000000,,1,19615,1231,0
hpf_ca1__202427_143_edited.swc,pyramidal,84679,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,80787,1711,2180
hpf_ca1__202461_011_edited.swc,pyramidal,47046,1.000000,1.000000,1.000000,1.000000,1.000000,,1,44845,2200,0
hpf_ca1__202461_014_edited.swc,pyramidal,60941,1.000000,1.000000,1.000000,1.000000,1.000000,,1,58693,2247,0
hpf_ca1__202464_010_edited.swc,pyramidal,15900,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,12691,1265,1943
hpf_ca1__202497_001_edited.swc,pyramidal,44018,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,41231,1002,1784
hpf_ca1__202497_013_edited.swc,pyramidal,43457,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,40229,1360,1867
hpf_ca1__202497_020_edited.swc,pyramidal,32754,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,28455,1931,2367
hpf_ca1__202497_022_edited.swc,pyramidal,43240,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,40617,724,1898
hpf_ca1__202498_003_edited.swc,pyramidal,32575,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,30622,715,1237
