name,n_nodes,predicted_cell_type,stage1_correct,neurite_macro_f1,macro_f1,accuracy,n_apical_gt,n_basal_gt,n_axon_gt
neuromorpho__236-2-18LS.swc,535,pyramidal,True,0.6637,0.7478,0.985,79,447,8
neuromorpho__236-2-19LS.swc,681,pyramidal,True,1.0,1.0,1.0,207,462,11
neuromorpho__236-2-20LS.swc,976,pyramidal,True,0.6635,0.7476,0.9887,396,568,11
neuromorpho__236-2-21LS.swc,581,pyramidal,True,0.2635,0.4476,0.654,192,379,9
neuromorpho__236-2-25LS.swc,611,pyramidal,True,0.6624,0.7468,0.9836,211,389,10
neuromorpho__236-2-26LS.swc,693,pyramidal,True,0.6636,0.7477,0.9899,312,373,7
neuromorpho__236-2-28LS.swc,758,pyramidal,True,0.4311,0.5733,0.4697,187,557,13
neuromorpho__236-2-29LS.swc,379,pyramidal,True,0.3252,0.4939,0.3193,252,120,6
neuromorpho__236-2-2LS.swc,397,pyramidal,True,0.3143,0.4857,0.2519,285,99,12
neuromorpho__236-2-30LS.swc,695,pyramidal,True,0.3272,0.4954,0.3453,446,239,9
neuromorpho__236-2-31LS.swc,439,pyramidal,True,0.3282,0.4962,0.5171,205,226,7
neuromorpho__236-2-33LS.swc,659,pyramidal,True,0.6295,0.7221,0.871,234,339,85
neuromorpho__236-2-34LS.swc,691,pyramidal,True,0.6633,0.7474,0.9884,295,387,8
neuromorpho__236-2-37LS.swc,719,pyramidal,True,0.6626,0.7469,0.9889,389,321,8
neuromorpho__236-2-38LS.swc,450,pyramidal,True,0.1224,0.3418,0.2267,161,284,4
neuromorpho__236-2-39LS.swc,489,pyramidal,True,0.3196,0.4897,0.501,223,244,21
neuromorpho__236-2-3LS.swc,323,pyramidal,True,0.3221,0.4916,0.4025,184,129,9
neuromorpho__236-2-40LS.swc,394,pyramidal,True,0.2791,0.4593,0.7208,100,285,8
neuromorpho__236-2-44LS.swc,546,pyramidal,True,0.3309,0.4981,0.7344,139,400,6
neuromorpho__236-2-45LS.swc,544,pyramidal,True,0.6614,0.746,0.9816,224,309,10
neuromorpho__236-2-47LS.swc,755,pyramidal,True,0.33,0.4975,0.7166,203,540,11
neuromorpho__236-2-48LS.swc,487,pyramidal,True,0.3313,0.4985,0.6879,148,334,4
neuromorpho__236-2-49LS.swc,372,pyramidal,True,0.601,0.7008,0.7984,143,222,6
neuromorpho__236-2-4LS.swc,357,pyramidal,True,0.3787,0.5858,0.6106,0,348,8
neuromorpho__236-2-51LS.swc,506,pyramidal,True,0.6592,0.7444,0.9783,253,241,11
neuromorpho__236-2-52LS.swc,229,pyramidal,True,0.3238,0.4929,0.3755,138,85,5
neuromorpho__236-2-53LS.swc,607,pyramidal,True,0.6639,0.748,0.9901,235,365,6
neuromorpho__236-2-55LS.swc,689,pyramidal,True,0.6644,0.7483,0.9913,240,442,6
neuromorpho__236-2-58LS.swc,458,pyramidal,True,0.2487,0.4366,0.5961,102,348,7
neuromorpho__236-2-59LS.swc,676,pyramidal,True,0.6514,0.7385,0.9497,287,379,9
neuromorpho__236-2-61LS.swc,602,pyramidal,True,0.6633,0.7475,0.985,152,440,9
neuromorpho__236-2-63LS.swc,506,pyramidal,True,0.4558,0.6372,0.8379,0,497,8
neuromorpho__236-2-64LS.swc,781,pyramidal,True,0.4277,0.6185,0.7478,0,768,12
neuromorpho__236-2-66LS.swc,461,pyramidal,True,0.3494,0.5662,0.538,0,454,6
neuromorpho__236-2-67LS.swc,478,pyramidal,True,0.6262,0.7197,0.9226,306,162,9
neuromorpho__236-2-68LS.swc,573,pyramidal,True,0.3294,0.497,0.438,316,250,6
neuromorpho__236-2-72LS.swc,875,pyramidal,True,0.3282,0.4962,0.5874,345,513,16
neuromorpho__236-2-73LS.swc,274,pyramidal,True,0.4179,0.6119,0.719,0,265,8
neuromorpho__236-2-75LS.swc,205,pyramidal,True,0.2069,0.4052,0.3561,44,152,8
neuromorpho__236-2-77LS.swc,377,pyramidal,True,0.6313,0.7235,0.8753,131,234,11
neuromorpho__236-2-81LS.swc,452,pyramidal,True,0.6536,0.7402,0.9491,147,291,13
neuromorpho__236-2-82LS.swc,555,pyramidal,True,0.4324,0.6216,0.7622,0,545,9
neuromorpho__236-2-83LS.swc,414,pyramidal,True,0.3587,0.5725,0.5604,0,406,7
neuromorpho__236-2-84LS.swc,405,pyramidal,True,0.4179,0.6119,0.7185,0,398,6
neuromorpho__236-2-85LS.swc,529,pyramidal,True,0.6067,0.7051,0.7713,131,388,9
neuromorpho__236-2-86LS.swc,434,pyramidal,True,0.3264,0.4948,0.4908,212,212,9
neuromorpho__236-2-88LS.swc,732,pyramidal,True,0.3313,0.4985,0.571,309,417,5
neuromorpho__236-2-92LS.swc,54,pyramidal,True,0.5556,0.6667,0.8704,39,7,7
neuromorpho__236-2-93LS.swc,639,pyramidal,True,0.1993,0.3995,0.4272,105,522,11
neuromorpho__236-2-95LS.swc,560,pyramidal,True,0.3302,0.4977,0.5714,234,319,6
neuromorpho__236-2-96LS.swc,456,pyramidal,True,0.6289,0.7216,0.8816,190,258,7
neuromorpho__236-2-97LS.swc,397,pyramidal,True,0.6534,0.74,0.9496,135,251,10
neuromorpho__236-2-9LS.swc,814,pyramidal,True,0.3634,0.5756,0.5713,0,767,46
neuromorpho__236-2a-1-AW.swc,397,pyramidal,True,0.6601,0.7451,0.9798,189,199,8
neuromorpho__236-2a-10-AW.swc,334,pyramidal,True,0.6576,0.7432,0.9701,144,184,5
neuromorpho__236-2a-11-AW.swc,318,pyramidal,True,0.6007,0.7005,0.7704,96,214,7
neuromorpho__236-2a-12-AW.swc,396,pyramidal,True,0.6356,0.7267,0.8889,137,253,5
neuromorpho__236-2a-13-AW.swc,577,pyramidal,True,0.4164,0.6109,0.714,0,573,3
neuromorpho__236-2a-14-AW.swc,424,pyramidal,True,0.5632,0.6724,0.7453,195,222,6
neuromorpho__236-2a-15-AW.swc,263,pyramidal,True,0.4798,0.6098,0.6312,127,127,8
neuromorpho__236-2a-16-AW.swc,545,pyramidal,True,0.3652,0.5768,0.5761,0,535,9
neuromorpho__236-2a-17-AW.swc,320,pyramidal,True,0.6635,0.7477,0.9875,104,211,4
neuromorpho__236-2a-19-AW.swc,348,pyramidal,True,0.6644,0.7483,0.9914,120,224,3
neuromorpho__236-2a-20-AW.swc,331,pyramidal,True,0.3248,0.4936,0.3474,210,114,6
neuromorpho__236-2a-21-AW.swc,305,pyramidal,True,0.6612,0.7459,0.977,89,208,7
neuromorpho__236-2a-22-AW.swc,545,pyramidal,True,0.2211,0.4158,0.4972,153,384,7
neuromorpho__236-2a-24-AW.swc,290,pyramidal,True,0.554,0.6655,0.6724,101,182,6
neuromorpho__236-2a-25-AW.swc,452,pyramidal,True,0.3897,0.5931,0.6394,0,444,7
neuromorpho__236-2a-27-AW.swc,295,pyramidal,True,0.3664,0.5776,0.5797,0,289,5
neuromorpho__236-2a-28-AW.swc,263,pyramidal,True,0.139,0.3542,0.2662,70,183,9
neuromorpho__236-2a-29-AW.swc,327,pyramidal,True,0.6602,0.7451,0.9725,91,226,9
neuromorpho__236-2a-30-AW.swc,360,pyramidal,True,0.6611,0.7458,0.9806,145,207,7
neuromorpho__236-2a-31-AW.swc,369,pyramidal,True,0.3752,0.5835,0.6016,0,360,8
neuromorpho__236-2a-34-AW.swc,338,pyramidal,True,0.149,0.3618,0.2899,77,251,9
neuromorpho__236-2a-35-AW.swc,491,pyramidal,True,0.6632,0.7474,0.9857,147,336,7
neuromorpho__236-2a-37-AW.swc,274,pyramidal,True,0.396,0.5973,0.6569,0,265,8
neuromorpho__236-2a-38-AW.swc,315,pyramidal,True,0.6609,0.7457,0.9778,109,198,7
neuromorpho__236-2a-4-AW.swc,337,pyramidal,True,0.6608,0.7456,0.9763,104,224,8
neuromorpho__236-2a-41-AW.swc,428,pyramidal,True,0.3283,0.4962,0.5374,191,229,7
neuromorpho__236-2a-42-AW.swc,354,pyramidal,True,0.3283,0.4962,0.4605,186,162,5
neuromorpho__236-2a-44-AW.swc,589,pyramidal,True,0.3229,0.4922,0.4754,291,279,18
neuromorpho__236-2a-45-AW.swc,295,pyramidal,True,0.6607,0.7456,0.9797,122,166,6
neuromorpho__236-2a-47-AW.swc,266,pyramidal,True,0.5365,0.6523,0.7218,176,79,10
neuromorpho__236-2a-48-AW.swc,404,pyramidal,True,0.6628,0.7471,0.9851,141,256,6
neuromorpho__236-2a-49-AW.swc,314,pyramidal,True,0.1848,0.3886,0.3854,74,233,6
neuromorpho__236-2a-5-AW.swc,592,pyramidal,True,0.3292,0.4969,0.6081,223,359,9
neuromorpho__236-2a-50-AW.swc,364,pyramidal,True,0.6621,0.7466,0.9835,141,216,6
neuromorpho__236-2a-52-AW.swc,402,pyramidal,True,0.3283,0.4962,0.4851,201,194,6
neuromorpho__236-2a-53-AW.swc,292,pyramidal,True,0.3278,0.4959,0.6164,106,179,6
neuromorpho__236-2a-54-AW.swc,313,pyramidal,True,0.5539,0.6654,0.7157,136,170,6
neuromorpho__236-2a-55-AW.swc,377,pyramidal,True,0.6635,0.7476,0.9867,113,258,5
neuromorpho__236-2a-56-AW.swc,370,pyramidal,True,0.2326,0.4244,0.327,145,220,4
neuromorpho__236-2a-57-AW.swc,497,pyramidal,True,0.5973,0.698,0.7726,168,319,9
neuromorpho__236-2a-6-AW.swc,532,pyramidal,True,0.3295,0.4971,0.6429,182,341,8
neuromorpho__236-2a-8-AW.swc,309,pyramidal,True,0.6584,0.7438,0.9773,163,138,7
neuromorpho__236-2a-9-AW.swc,396,pyramidal,True,0.6624,0.7468,0.9823,120,268,7
neuromorpho__236-3-14LS.swc,748,pyramidal,True,0.4868,0.6151,0.7393,389,353,5
neuromorpho__236-3-15LS.swc,684,pyramidal,True,0.3298,0.4973,0.6754,212,461,10
neuromorpho__236-3-1LS.swc,577,pyramidal,True,0.3313,0.4985,0.7175,158,413,5
neuromorpho__236-3-20LS.swc,496,pyramidal,True,0.5697,0.6772,0.8488,281,207,7
neuromorpho__236-3-21LS.swc,954,pyramidal,True,0.4866,0.6149,0.6457,281,664,8
neuromorpho__236-3-22LS.swc,344,pyramidal,True,0.6589,0.7442,0.9826,211,126,6
neuromorpho__236-3-23LS.swc,547,pyramidal,True,0.6611,0.7458,0.9762,151,382,13
neuromorpho__236-3-24LS.swc,904,pyramidal,True,0.2524,0.4393,0.458,450,438,15
neuromorpho__236-3-25LS.swc,362,pyramidal,True,0.3261,0.4946,0.6298,124,227,10
neuromorpho__236-3-26LS.swc,379,pyramidal,True,0.3218,0.4914,0.409,213,154,11
neuromorpho__236-3-2LS.swc,514,pyramidal,True,0.661,0.7458,0.9825,242,262,9
neuromorpho__236-3-30LS.swc,636,pyramidal,True,0.2294,0.4862,0.2987,0,627,8
neuromorpho__236-3-31LS.swc,900,pyramidal,True,0.6612,0.7459,0.9789,309,571,19
neuromorpho__236-3-33LS.swc,1234,pyramidal,True,0.6646,0.7485,0.9919,417,806,10
neuromorpho__236-3-35LS.swc,871,pyramidal,True,0.5124,0.6343,0.6854,173,684,13
neuromorpho__236-3-36LS.swc,402,pyramidal,True,0.328,0.496,0.6119,148,245,8
neuromorpho__236-3-37LS.swc,402,pyramidal,True,0.3225,0.4918,0.2239,306,89,6
neuromorpho__236-3-38LS.swc,456,pyramidal,True,0.1653,0.374,0.3311,123,322,10
neuromorpho__236-3-39LS.swc,669,pyramidal,True,0.5982,0.6987,0.7444,166,495,7
neuromorpho__236-3-42LS.swc,555,pyramidal,True,0.3308,0.4981,0.7189,150,398,6
neuromorpho__236-3-46LS.swc,287,pyramidal,True,0.6598,0.7448,0.9721,89,189,8
neuromorpho__236-3-48LS.swc,273,pyramidal,True,0.6245,0.7184,0.9194,174,90,8
neuromorpho__236-3-49LS.swc,401,pyramidal,True,0.1818,0.3864,0.3766,95,297,8
neuromorpho__236-3-4LS.swc,661,pyramidal,True,0.3312,0.4984,0.708,187,467,6
neuromorpho__236-3-50LS.swc,462,pyramidal,True,0.3297,0.4973,0.5931,182,273,6
neuromorpho__236-3-51LS.swc,300,pyramidal,True,0.3282,0.4962,0.7567,66,226,7
neuromorpho__236-3-52LS.swc,433,pyramidal,True,0.6635,0.7476,0.9931,273,156,3
neuromorpho__236-3-53LS.swc,221,pyramidal,True,0.3586,0.5724,0.5611,0,215,5
neuromorpho__236-3-54LS.swc,509,pyramidal,True,0.3291,0.4968,0.6071,192,308,8
neuromorpho__236-3-55LS.swc,581,pyramidal,True,0.4955,0.6217,0.6041,241,332,7
neuromorpho__236-3-5LS.swc,592,pyramidal,True,0.6624,0.7468,0.9865,272,311,8
neuromorpho__236-3-62LS.swc,349,pyramidal,True,0.3862,0.5908,0.6304,0,340,8
neuromorpho__236-3-65LS.swc,633,pyramidal,True,0.6028,0.7021,0.7946,228,396,8
neuromorpho__236-3-67LS.swc,820,pyramidal,True,0.6652,0.7489,0.9939,248,566,5
neuromorpho__236-3-69LS.swc,478,pyramidal,True,0.4097,0.6064,0.6946,0,471,6
neuromorpho__236-3-6LS.swc,646,pyramidal,True,0.329,0.4967,0.6455,218,416,11
neuromorpho__236-3-70LS.swc,413,pyramidal,True,0.3267,0.495,0.6562,131,270,11
neuromorpho__236-3-71LS.swc,282,pyramidal,True,0.1775,0.3832,0.3652,60,215,6
neuromorpho__236-3-74LS.swc,484,pyramidal,True,0.2144,0.4108,0.4752,118,360,5
neuromorpho__236-3-75LS.swc,336,pyramidal,True,0.6418,0.7313,0.8929,76,223,36
neuromorpho__236-3-76LS.swc,321,pyramidal,True,0.3024,0.4768,0.6885,55,259,6
neuromorpho__236-3-8LS.swc,731,pyramidal,True,0.3947,0.5965,0.6525,0,721,9
neuromorpho__236-3-9LS.swc,710,pyramidal,True,0.2113,0.4085,0.4648,205,496,8
neuromorpho__23_den_ax.swc,135860,pyramidal,True,0.9853,0.9902,0.9978,0,5534,130325
neuromorpho__241-1-10VN.swc,565,pyramidal,True,0.3302,0.4976,0.646,193,364,7
neuromorpho__241-1-13-AW.swc,665,pyramidal,True,0.6624,0.7468,0.9865,306,349,9
neuromorpho__241-1-14-AW.swc,662,pyramidal,True,0.1798,0.3849,0.3686,168,428,65
neuromorpho__241-1-15-AW.swc,707,pyramidal,True,0.2344,0.4258,0.3833,208,473,25
