seed,file,cell_type,baseline_method,metric,v12_value,baseline_value,diff
123,hpf_ca1__202269_001_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202269_002_edited.swc,pyramidal,lmeasure_rf,accuracy,0.96729700,0.98690000,-0.01960300
123,hpf_ca1__202271_143_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202271_145_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202271_146_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202271_173_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202272_052_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202273_113_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202274_082_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202274_096_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202396_044_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202401_143_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202401_204_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202401_206_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202401_222_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202402_001_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202402_057_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202403_106_edited.swc,pyramidal,lmeasure_rf,accuracy,0.28966400,0.39470000,-0.10503600
123,hpf_ca1__202403_125_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202403_126_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202403_129_edited.swc,pyramidal,lmeasure_rf,accuracy,0.97128700,0.97130000,-0.00001300
