scope,feature_mode,test_seed,selected_model,selected_feature_set,n_train,n_val,n_test,n_bad_test,bad_rate_test,before_f1_mean,before_f1_p10,test_ap,test_auc,model_path,operating_point,target_value,validation_precision,validation_recall,score_threshold,reject_rate,n_rejected,precision_lt_target,recall_lt_target,binary_accuracy,kept_f1_p10,rejected_f1_mean,tp,fp,fn,tn,kept_f1_mean,kept_f1_p25
all,branch3,789,hgb,full,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.35271885138767795,0.8783878283878285,paper/models/final_flag_multiseed_loso/all_branch3_testseed789_f060.joblib,validation_recall,0.8,0.26666666666666666,0.8,0.14330508643776693,0.25032708242477103,574,0.21428571428571427,0.831081081081081,0.7924116877453118,1.0,0.8292172473867595,123,451,25,1694,,
all,branch3,789,hgb,full,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.35271885138767795,0.8783878283878285,paper/models/final_flag_multiseed_loso/all_branch3_testseed789_f060.joblib,validation_recall,0.9,0.2099125364431487,0.9,0.06433487674034513,0.36066288704753596,827,0.16324062877871826,0.9121621621621622,0.6925425207152203,1.0,0.8657221281741234,135,692,13,1453,,
all,branch3,789,hgb,full,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.35271885138767795,0.8783878283878285,paper/models/final_flag_multiseed_loso/all_branch3_testseed789_f060.joblib,validation_precision,0.7,0.7027027027027027,0.325,0.748853979698575,0.04273877017008286,98,0.42857142857142855,0.28378378378378377,0.9293501962494548,0.89452,0.6920928571428572,42,56,106,2089,,
all,branch3,789,hgb,full,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.35271885138767795,0.8783878283878285,paper/models/final_flag_multiseed_loso/all_branch3_testseed789_f060.joblib,validation_precision,0.8,0.8333333333333334,0.0625,0.9332084345123605,0.0034888791975577847,8,0.5,0.02702702702702703,0.935455734845181,0.7952400000000001,0.5857749999999999,4,4,144,2141,,
all,branch3,789,hgb,full,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.35271885138767795,0.8783878283878285,paper/models/final_flag_multiseed_loso/all_branch3_testseed789_f060.joblib,validation_precision,0.9,1.0,0.05,0.9453662819827044,0.0008722197993894462,2,1.0,0.013513513513513514,0.9363279546445704,0.7917,0.19185000000000002,2,0,146,2145,,
all,branch3,789,hgb,full,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.35271885138767795,0.8783878283878285,paper/models/final_flag_multiseed_loso/all_branch3_testseed789_f060.joblib,fixed_reject_rate,0.05,,,,0.05,115,0.40869565217391307,0.31756756756756754,0.9262974269515918,0.90425,0.6996617391304348,47,68,101,2077,0.9562714876033058,1.0
all,branch3,789,hgb,full,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.35271885138767795,0.8783878283878285,paper/models/final_flag_multiseed_loso/all_branch3_testseed789_f060.joblib,fixed_reject_rate,0.1,,,,0.1,229,0.35807860262008734,0.5540540540540541,0.907108591365024,0.97872,0.7387065502183405,82,147,66,1998,0.9661126937984496,1.0
all,branch3,789,hgb,full,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.35271885138767795,0.8783878283878285,paper/models/final_flag_multiseed_loso/all_branch3_testseed789_f060.joblib,fixed_reject_rate,0.15,,,,0.15,344,0.30523255813953487,0.7094594594594594,0.8770170082860881,0.99748,0.7720069767441861,105,239,43,1906,0.9736531554643407,1.0
all,baseline_oof,123,hgb,full,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.5228992666501873,0.8901451651629566,paper/models/final_flag_multiseed_loso/all_baseline_oof_testseed123_f060.joblib,validation_recall,0.5,0.5614035087719298,0.5079365079365079,0.5811306543213415,0.07660283097418817,184,0.5434782608695652,0.47393364928909953,0.9188176519567027,0.85584,0.6074375,100,84,111,2107,,
all,baseline_oof,123,hgb,full,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.5228992666501873,0.8901451651629566,paper/models/final_flag_multiseed_loso/all_baseline_oof_testseed123_f060.joblib,validation_recall,0.7,0.44554455445544555,0.7142857142857143,0.3356148135299002,0.126977518734388,305,0.4360655737704918,0.6303317535545023,0.8959200666111574,0.95918,0.6732118032786886,133,172,78,2019,,
all,baseline_oof,123,hgb,full,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.5228992666501873,0.8901451651629566,paper/models/final_flag_multiseed_loso/all_baseline_oof_testseed123_f060.joblib,validation_recall,0.8,0.40476190476190477,0.8095238095238095,0.19496988836762327,0.1723563696919234,414,0.36231884057971014,0.7109004739336493,0.8646960865945046,0.99117,0.7207949275362318,150,264,61,1927,,
all,baseline_oof,123,hgb,full,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.5228992666501873,0.8901451651629566,paper/models/final_flag_multiseed_loso/all_baseline_oof_testseed123_f060.joblib,validation_recall,0.9,0.29842931937172773,0.9047619047619048,0.09005383151583399,0.24479600333055787,588,0.2857142857142857,0.7962085308056872,0.8072439633638634,1.0,0.7749661564625852,168,420,43,1771,,
all,baseline_oof,123,hgb,full,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.5228992666501873,0.8901451651629566,paper/models/final_flag_multiseed_loso/all_baseline_oof_testseed123_f060.joblib,validation_precision,0.7,0.7222222222222222,0.20634920634920634,0.9136395483340243,0.02164862614487927,52,0.7692307692307693,0.1895734597156398,0.9238134887593672,0.68416,0.4362038461538461,40,12,171,2179,,
all,baseline_oof,123,hgb,full,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.5228992666501873,0.8901451651629566,paper/models/final_flag_multiseed_loso/all_baseline_oof_testseed123_f060.joblib,validation_precision,0.8,1.0,0.047619047619047616,0.9711312935528044,0.005828476269775187,14,0.8571428571428571,0.05687203791469194,0.9163197335553706,0.6462600000000001,0.4615357142857143,12,2,199,2189,,
