path,rel_path,cell_type,source,n_bytes,parseable,non_empty,has_soma,single_root,no_orphan,has_neurites,radius_positive,coords_finite,reasonable_size,n_nodes,n_soma,n_axon,n_basal,n_apical,n_other,n_roots,n_orphan,n_custom_type_nodes_raw,custom_type_values_raw,n_soma_raw,n_soma_groups,n_soma_nodes_removed,n_nodes_raw,qc_pass,qc_reason
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__14_37.swc,pyramidal/swc/neuromorpho__14_37.swc,pyramidal,neuromorpho,83706,True,True,True,True,True,True,True,True,True,2421,1,0,2420,0,0,1,0,0,,3,1,2,2423,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__14_38.swc,pyramidal/swc/neuromorpho__14_38.swc,pyramidal,neuromorpho,301420,True,True,True,True,True,True,True,True,True,8595,1,0,8594,0,0,1,0,0,,3,1,2,8597,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__14_66.swc,pyramidal/swc/neuromorpho__14_66.swc,pyramidal,neuromorpho,4054,True,True,False,True,True,True,True,True,True,109,0,109,0,0,0,1,0,0,,0,0,0,109,False,fail: has_soma
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__14_70.swc,pyramidal/swc/neuromorpho__14_70.swc,pyramidal,neuromorpho,11057,True,True,False,True,True,True,True,True,True,326,0,326,0,0,0,1,0,0,,0,0,0,326,False,fail: has_soma
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__14_den_ax.swc,pyramidal/swc/neuromorpho__14_den_ax.swc,pyramidal,neuromorpho,5935141,True,True,True,True,True,True,True,True,True,132401,1,126397,3341,2662,0,1,0,0,,3,1,2,132403,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__15-16.swc,pyramidal/swc/neuromorpho__15-16.swc,pyramidal,neuromorpho,135602,True,True,False,True,True,False,True,True,True,3973,0,0,0,0,3973,1,0,3973,6:3973,0,0,0,3973,False,"fail: has_soma,has_neurites"
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__15_33.swc,pyramidal/swc/neuromorpho__15_33.swc,pyramidal,neuromorpho,34508,True,True,True,True,True,True,True,True,True,1026,1,0,1025,0,0,1,0,0,,3,1,2,1028,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__15_34.swc,pyramidal/swc/neuromorpho__15_34.swc,pyramidal,neuromorpho,87003,True,True,True,True,True,True,True,True,True,2500,1,0,2499,0,0,1,0,0,,3,1,2,2502,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__15_35.swc,pyramidal/swc/neuromorpho__15_35.swc,pyramidal,neuromorpho,76915,True,True,True,True,True,True,True,True,True,2247,1,0,2246,0,0,1,0,0,,3,1,2,2249,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__15_60.swc,pyramidal/swc/neuromorpho__15_60.swc,pyramidal,neuromorpho,2941,True,True,False,True,True,True,True,True,True,70,0,70,0,0,0,1,0,0,,0,0,0,70,False,fail: has_soma
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__15_61.swc,pyramidal/swc/neuromorpho__15_61.swc,pyramidal,neuromorpho,3615,True,True,False,True,True,True,True,True,True,85,0,85,0,0,0,1,0,0,,0,0,0,85,False,fail: has_soma
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__15_62.swc,pyramidal/swc/neuromorpho__15_62.swc,pyramidal,neuromorpho,1947,True,True,False,True,True,True,True,True,True,37,0,37,0,0,0,1,0,0,,0,0,0,37,False,fail: has_soma
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__15_den_ax.swc,pyramidal/swc/neuromorpho__15_den_ax.swc,pyramidal,neuromorpho,5706454,True,True,True,True,True,True,True,True,True,130424,1,118257,6687,5479,0,1,0,0,,3,1,2,130426,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__16-17.swc,pyramidal/swc/neuromorpho__16-17.swc,pyramidal,neuromorpho,432043,True,True,False,True,True,False,True,True,True,12372,0,0,0,0,12372,1,0,12372,6:12372,0,0,0,12372,False,"fail: has_soma,has_neurites"
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__16_33.swc,pyramidal/swc/neuromorpho__16_33.swc,pyramidal,neuromorpho,190997,True,True,True,True,True,True,True,True,True,5497,1,0,5496,0,0,1,0,0,,3,1,2,5499,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__16_34.swc,pyramidal/swc/neuromorpho__16_34.swc,pyramidal,neuromorpho,105640,True,True,True,True,True,True,True,True,True,2988,1,0,2987,0,0,1,0,0,,3,1,2,2990,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__16_35.swc,pyramidal/swc/neuromorpho__16_35.swc,pyramidal,neuromorpho,143739,True,True,True,True,True,True,True,True,True,4137,1,0,4136,0,0,1,0,0,,3,1,2,4139,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__16_63.swc,pyramidal/swc/neuromorpho__16_63.swc,pyramidal,neuromorpho,6500,True,True,False,True,True,True,True,True,True,182,0,182,0,0,0,1,0,0,,0,0,0,182,False,fail: has_soma
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__16_64.swc,pyramidal/swc/neuromorpho__16_64.swc,pyramidal,neuromorpho,2147,True,True,False,True,True,True,True,True,True,36,0,36,0,0,0,1,0,0,,0,0,0,36,False,fail: has_soma
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__16_den_ax.swc,pyramidal/swc/neuromorpho__16_den_ax.swc,pyramidal,neuromorpho,6089898,True,True,True,True,True,True,True,True,True,139691,1,127716,11974,0,0,1,0,0,,3,1,2,139693,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__17--OTC-10-nM-NPY-11-weeks.swc,pyramidal/swc/neuromorpho__17--OTC-10-nM-NPY-11-weeks.swc,pyramidal,neuromorpho,66524,True,True,True,True,True,True,True,True,True,1792,1,0,1791,0,0,1,0,0,,3,1,2,1794,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__17_28.swc,pyramidal/swc/neuromorpho__17_28.swc,pyramidal,neuromorpho,58645,True,True,True,True,True,True,True,True,True,1693,1,0,1692,0,0,1,0,0,,3,1,2,1695,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__17_29.swc,pyramidal/swc/neuromorpho__17_29.swc,pyramidal,neuromorpho,18313,True,True,True,True,True,True,True,True,True,538,1,0,537,0,0,1,0,0,,3,1,2,540,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__17_30.swc,pyramidal/swc/neuromorpho__17_30.swc,pyramidal,neuromorpho,174789,True,True,True,True,True,True,True,True,True,4674,1,0,4673,0,0,1,0,0,,3,1,2,4676,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__17_53.swc,pyramidal/swc/neuromorpho__17_53.swc,pyramidal,neuromorpho,5072,True,True,False,True,True,True,True,True,True,140,0,140,0,0,0,1,0,0,,0,0,0,140,False,fail: has_soma
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__17_54.swc,pyramidal/swc/neuromorpho__17_54.swc,pyramidal,neuromorpho,6127,True,True,False,True,True,True,True,True,True,178,0,178,0,0,0,1,0,0,,0,0,0,178,False,fail: has_soma
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__17_55.swc,pyramidal/swc/neuromorpho__17_55.swc,pyramidal,neuromorpho,9197,True,True,False,True,True,True,True,True,True,269,0,269,0,0,0,1,0,0,,0,0,0,269,False,fail: has_soma
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__17_57.swc,pyramidal/swc/neuromorpho__17_57.swc,pyramidal,neuromorpho,1655,True,True,False,True,True,True,True,True,True,28,0,28,0,0,0,1,0,0,,0,0,0,28,False,fail: has_soma
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__17_den_ax.swc,pyramidal/swc/neuromorpho__17_den_ax.swc,pyramidal,neuromorpho,4088078,True,True,True,True,True,True,True,True,True,95497,1,90331,5165,0,0,1,0,0,,3,1,2,95499,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__17o_pyramidal13aFI.swc,pyramidal/swc/neuromorpho__17o_pyramidal13aFI.swc,pyramidal,neuromorpho,40962,True,True,True,True,True,True,True,True,True,1141,1,0,655,485,0,1,0,0,,3,1,2,1143,True,
