hidden,n_layers,dropout,n_params,fold,best_epoch,branch_macro_f1,branch_apical_f1,branch_basal_f1,cell_mean_macro_f1
128,3,0.0,79234,2,19,0.9660145700216441,0.966297052815874,0.9657320872274143,0.8579833968305604
128,3,0.0,79234,3,4,0.9637059892702535,0.9648512939358825,0.9625606846046244,0.8607195530583822
128,3,0.0,79234,4,31,0.9686624298716029,0.9665121071612571,0.9708127525819488,0.854266115270131
128,3,0.2,79234,0,9,0.9566236201753476,0.9558846699227982,0.9573625704278971,0.8709489816451721
128,3,0.2,79234,1,21,0.9610446421455532,0.9610332749562172,0.9610560093348891,0.860650402611391
128,3,0.2,79234,2,37,0.966162378594811,0.9663988312636961,0.965925925925926,0.8566859806747184
128,3,0.2,79234,3,4,0.9626753035391569,0.9637490317583268,0.9616015753199869,0.8578583411374767
128,3,0.2,79234,4,28,0.9646036006505462,0.9624776652769506,0.9667295360241418,0.8539181892474107
128,3,0.5,79234,0,9,0.956160657082376,0.9554681353265145,0.9568531788382375,0.8706244525062702
128,3,0.5,79234,1,19,0.9626475599180633,0.9623750734861846,0.9629200463499421,0.8610089444693702
128,3,0.5,79234,2,54,0.9677782978320533,0.9681361850720209,0.9674204105920857,0.8628863622331031
128,3,0.5,79234,3,8,0.9622720576109571,0.9634325473521453,0.9611115678697689,0.8543659339803282
128,3,0.5,79234,4,32,0.961052588806079,0.9575235247559581,0.9645816528562,0.8360658571184605
