experiment,feature_mode,subset,target,n_rows,n_bad,bad_rate,saved_bundle,target_recall,model_name,feature_set,val_precision,val_recall,score_threshold,test_precision,test_recall,test_n_rejected,test_tp,test_fp,test_fn,test_accuracy,test_kept_f1_p10,val_ap,test_ap
two_stage_max_failure_heads,xmodel,all,cell_f060+axon_f050+basal_f060+apical_f050,2402,211,0.08784346378018318,,0.5,two_stage,max_validation_percentile,0.875,0.5,0.9854469854469855,0.7142857142857143,0.47619047619047616,28,20,8,22,0.9376299376299376,0.8775600000000001,,
two_stage_max_failure_heads,xmodel,all,cell_f060+axon_f050+basal_f060+apical_f050,2402,211,0.08784346378018318,,0.7,two_stage,max_validation_percentile,0.7692307692307693,0.7142857142857143,0.9708939708939709,0.627906976744186,0.6428571428571429,43,27,16,15,0.9355509355509356,0.97704,,
two_stage_max_failure_heads,xmodel,all,cell_f060+axon_f050+basal_f060+apical_f050,2402,211,0.08784346378018318,,0.8,two_stage,max_validation_percentile,0.6538461538461539,0.8095238095238095,0.9563409563409564,0.5818181818181818,0.7619047619047619,55,32,23,10,0.9313929313929314,0.9901,,
two_stage_max_failure_heads,xmodel,all,cell_f060+axon_f050+basal_f060+apical_f050,2402,211,0.08784346378018318,,0.9,two_stage,max_validation_percentile,0.5428571428571428,0.9047619047619048,0.9313929313929314,0.41379310344827586,0.8571428571428571,87,36,51,6,0.8814968814968815,1.0,,
two_stage_max_failure_heads,xmodel,all,cell_f060+axon_f050+basal_f060+apical_f050,2402,211,0.08784346378018318,,0.95,two_stage,max_validation_percentile,0.31746031746031744,0.9523809523809523,0.8586278586278586,0.2932330827067669,0.9285714285714286,133,39,94,3,0.7983367983367984,1.0,,
single_cell_f060,xmodel,pyramidal,cell_f060,1745,177,0.101432664756447,,0.5,gb,full,0.9,0.5,0.8705225618787606,1.0,0.22857142857142856,8,8,0,27,0.9226361031518625,0.634,0.7901703688989289,0.7662804888258733
single_cell_f060,xmodel,pyramidal,cell_f060,1745,177,0.101432664756447,,0.7,gb,numeric_only,0.7647058823529411,0.7222222222222222,0.33290400947314547,0.7241379310344828,0.6,29,21,8,14,0.9369627507163324,0.8029800000000001,0.7845700907687725,0.769068187725136
single_cell_f060,xmodel,pyramidal,cell_f060,1745,177,0.101432664756447,paper/models/flag_improvement_sweep_seed123_branch3_v12ens/pyramidal_xmodel_cell_f060_r080.joblib,0.8,hgb,full,0.725,0.8055555555555556,0.3422649617472377,0.7894736842105263,0.8571428571428571,38,30,8,5,0.9627507163323782,0.9738,0.815638672403618,0.8472405220140875
single_cell_f060,xmodel,pyramidal,cell_f060,1745,177,0.101432664756447,,0.9,hgb,full,0.66,0.9166666666666666,0.16501719314267166,0.7209302325581395,0.8857142857142857,43,31,12,4,0.9541547277936963,0.97995,0.815638672403618,0.8472405220140875
single_cell_f060,xmodel,pyramidal,cell_f060,1745,177,0.101432664756447,,0.95,hgb,no_lab,0.21875,0.9722222222222222,0.0006976697483246768,0.22758620689655173,0.9428571428571428,145,33,112,2,0.673352435530086,1.0,0.7997937806853626,0.8104277574338214
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,axon_f050,1745,177,0.101432664756447,,0.5,hgb,full,0.5,0.5,0.00457019754178376,0.45454545454545453,0.42857142857142855,33,15,18,20,0.8911174785100286,0.7588,0.8990981955007872,0.8553349952421156
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,axon_f050,1745,177,0.101432664756447,,0.7,rf,no_lab,0.3880597014925373,0.7222222222222222,0.05319310073128456,0.3382352941176471,0.6571428571428571,68,23,45,12,0.836676217765043,0.9976,0.9008108662480144,0.8690314948489076
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,axon_f050,1745,177,0.101432664756447,,0.8,rf,full,0.32954545454545453,0.8055555555555556,0.03299234790086762,0.2926829268292683,0.6857142857142857,82,24,58,11,0.8022922636103151,1.0,0.8999056493223283,0.8733119898841164
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,axon_f050,1745,177,0.101432664756447,,0.9,rf,no_lab,0.22602739726027396,0.9166666666666666,0.007995737705411681,0.23255813953488372,0.8571428571428571,129,30,99,5,0.7020057306590258,1.0,0.9008108662480144,0.8690314948489076
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,axon_f050,1745,177,0.101432664756447,,0.95,rf,no_lab,0.22012578616352202,0.9722222222222222,0.003787232789372149,0.20253164556962025,0.9142857142857143,158,32,126,3,0.6303724928366762,1.0,0.9008108662480144,0.8690314948489076
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,basal_f060,1745,177,0.101432664756447,,0.5,gb,full,0.72,0.5,0.07700377312904597,0.7916666666666666,0.5428571428571428,24,19,5,16,0.9398280802292264,0.7439,0.4993854681628804,0.3680821927338666
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,basal_f060,1745,177,0.101432664756447,,0.7,rf,full,0.5098039215686274,0.7222222222222222,0.11586185039401968,0.5625,0.7714285714285715,48,27,21,8,0.9169054441260746,0.9085,0.582100787705013,0.5236841982300672
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,basal_f060,1745,177,0.101432664756447,,0.8,extra_trees,full,0.46774193548387094,0.8055555555555556,0.18278106582107564,0.4918032786885246,0.8571428571428571,61,30,31,5,0.8968481375358166,0.9887,0.537011923513618,0.5370218349106117
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,basal_f060,1745,177,0.101432664756447,,0.9,extra_trees,numeric_only,0.375,0.9166666666666666,0.09644940979334911,0.36904761904761907,0.8857142857142857,84,31,53,4,0.836676217765043,0.99384,0.5300702565408447,0.521210883200787
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,basal_f060,1745,177,0.101432664756447,,0.95,rf,numeric_only,0.28,0.9722222222222222,0.02673437141764554,0.3,0.9428571428571428,110,33,77,2,0.7736389684813754,1.0,0.5506705096953706,0.5439644983817915
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,apical_f050,1745,177,0.101432664756447,,0.5,hgb,full,0.9473684210526315,0.5,0.9195698191616648,0.875,0.4,16,14,2,21,0.9340974212034384,0.65798,0.8345218976974572,0.7924954520679729
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,apical_f050,1745,177,0.101432664756447,,0.7,hgb,full,0.5777777777777777,0.7222222222222222,0.01804776490478136,0.5454545454545454,0.6857142857142857,44,24,20,11,0.9111747851002865,0.88768,0.8345218976974572,0.7924954520679729
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,apical_f050,1745,177,0.101432664756447,,0.8,hgb,no_lab,0.4603174603174603,0.8055555555555556,0.00464763990334091,0.421875,0.7714285714285715,64,27,37,8,0.8710601719197708,0.98278,0.8188659626675308,0.7677435755947729
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,apical_f050,1745,177,0.101432664756447,,0.9,gb,full,0.3548387096774194,0.9166666666666666,0.006670845846729518,0.36046511627906974,0.8857142857142857,86,31,55,4,0.830945558739255,0.99362,0.752864788932581,0.7028889614434801
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,apical_f050,1745,177,0.101432664756447,,0.95,hgb,no_lab,0.22727272727272727,0.9722222222222222,0.0006352601061829127,0.2108843537414966,0.8857142857142857,147,31,116,4,0.6561604584527221,0.9919800000000001,0.8188659626675308,0.7677435755947729
two_stage_max_failure_heads,xmodel,pyramidal,cell_f060+axon_f050+basal_f060+apical_f050,1745,177,0.101432664756447,,0.5,two_stage,max_validation_percentile,0.8181818181818182,0.5,0.9828080229226361,0.8421052631578947,0.45714285714285713,19,16,3,19,0.9369627507163324,0.7316699999999999,,
two_stage_max_failure_heads,xmodel,pyramidal,cell_f060+axon_f050+basal_f060+apical_f050,1745,177,0.101432664756447,,0.7,two_stage,max_validation_percentile,0.7428571428571429,0.7222222222222222,0.9684813753581661,0.7931034482758621,0.6571428571428571,29,23,6,12,0.9484240687679083,0.87246,,
two_stage_max_failure_heads,xmodel,pyramidal,cell_f060+axon_f050+basal_f060+apical_f050,1745,177,0.101432664756447,,0.8,two_stage,max_validation_percentile,0.725,0.8055555555555556,0.9598853868194842,0.7741935483870968,0.6857142857142857,31,24,7,11,0.9484240687679083,0.9001600000000001,,
two_stage_max_failure_heads,xmodel,pyramidal,cell_f060+axon_f050+basal_f060+apical_f050,1745,177,0.101432664756447,,0.9,two_stage,max_validation_percentile,0.5689655172413793,0.9166666666666666,0.9255014326647565,0.5882352941176471,0.8571428571428571,51,30,21,5,0.9255014326647565,0.99149,,
two_stage_max_failure_heads,xmodel,pyramidal,cell_f060+axon_f050+basal_f060+apical_f050,1745,177,0.101432664756447,,0.95,two_stage,max_validation_percentile,0.2046783625730994,0.9722222222222222,0.7306590257879656,0.20245398773006135,0.9428571428571428,163,33,130,2,0.6217765042979942,1.0,,
single_cell_f060,xmodel,interneuron,cell_f060,657,34,0.0517503805175038,,0.5,extra_trees,full,1.0,0.5714285714285714,0.6188816401114428,1.0,0.2857142857142857,2,2,0,5,0.9621212121212122,1.0,1.0,0.5965580261955528
single_cell_f060,xmodel,interneuron,cell_f060,657,34,0.0517503805175038,,0.7,extra_trees,full,1.0,0.7142857142857143,0.5296119087069231,0.6666666666666666,0.2857142857142857,3,2,1,5,0.9545454545454546,1.0,1.0,0.5965580261955528
single_cell_f060,xmodel,interneuron,cell_f060,657,34,0.0517503805175038,paper/models/flag_improvement_sweep_seed123_branch3_v12ens/interneuron_xmodel_cell_f060_r080.joblib,0.8,extra_trees,full,1.0,0.8571428571428571,0.4759058519842206,0.5,0.42857142857142855,6,3,3,4,0.946969696969697,1.0,1.0,0.5965580261955528
single_cell_f060,xmodel,interneuron,cell_f060,657,34,0.0517503805175038,,0.9,extra_trees,full,1.0,1.0,0.4475184231106107,0.5714285714285714,0.5714285714285714,7,4,3,3,0.9545454545454546,1.0,1.0,0.5965580261955528
single_cell_f060,xmodel,interneuron,cell_f060,657,34,0.0517503805175038,,0.95,extra_trees,full,1.0,1.0,0.4475184231106107,0.5714285714285714,0.5714285714285714,7,4,3,3,0.9545454545454546,1.0,1.0,0.5965580261955528
single_failure_head_ranked_against_cell_f060,xmodel,interneuron,axon_f050,657,34,0.0517503805175038,,0.5,extra_trees,full,1.0,0.5714285714285714,0.45054608388501705,0.5,0.14285714285714285,2,1,1,6,0.946969696969697,1.0,1.0,0.5909090909090909
single_failure_head_ranked_against_cell_f060,xmodel,interneuron,axon_f050,657,34,0.0517503805175038,,0.7,extra_trees,full,1.0,0.7142857142857143,0.4144064977692522,0.5,0.14285714285714285,2,1,1,6,0.946969696969697,1.0,1.0,0.5909090909090909
single_failure_head_ranked_against_cell_f060,xmodel,interneuron,axon_f050,657,34,0.0517503805175038,,0.8,extra_trees,full,1.0,0.8571428571428571,0.2769704561918579,0.5714285714285714,0.5714285714285714,7,4,3,3,0.9545454545454546,1.0,1.0,0.5909090909090909
