scope,feature_mode,test_seed,selected_model,selected_feature_set,n_train,n_val,n_test,n_bad_test,bad_rate_test,before_f1_mean,before_f1_p10,test_ap,test_auc,model_path,operating_point,target_value,validation_precision,validation_recall,score_threshold,reject_rate,n_rejected,precision_lt_target,recall_lt_target,binary_accuracy,kept_f1_p10,rejected_f1_mean,tp,fp,fn,tn,kept_f1_mean,kept_f1_p25
all,baseline_oof,123,hgb,full,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.5228992666501873,0.8901451651629566,paper/models/final_flag_multiseed_loso/all_baseline_oof_testseed123_f060.joblib,validation_recall,0.8,0.40476190476190477,0.8095238095238095,0.19496988836762327,0.1723563696919234,414,0.36231884057971014,0.7109004739336493,0.8646960865945046,0.99117,0.7207949275362318,150,264,61,1927,,
all,baseline_oof,123,hgb,full,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.5228992666501873,0.8901451651629566,paper/models/final_flag_multiseed_loso/all_baseline_oof_testseed123_f060.joblib,fixed_reject_rate,0.1,,,,0.1,240,0.48333333333333334,0.5497630331753555,0.9088259783513739,0.9064,0.6484704166666667,116,124,95,2067,0.9569063367252545,1.0
all,baseline_oof,42,rf,no_lab,2835,953,2328,169,0.07259450171821306,0.9392518041237113,0.6742400000000002,0.4969710735596311,0.9012226238862502,paper/models/final_flag_multiseed_loso/all_baseline_oof_testseed42_f060.joblib,validation_recall,0.8,0.34705882352941175,0.8082191780821918,0.2968810125260001,0.1481958762886598,345,0.336231884057971,0.6863905325443787,0.8788659793814433,0.99514,0.7518779710144927,116,229,53,1930,,
all,baseline_oof,42,rf,no_lab,2835,953,2328,169,0.07259450171821306,0.9392518041237113,0.6742400000000002,0.4969710735596311,0.9012226238862502,paper/models/final_flag_multiseed_loso/all_baseline_oof_testseed42_f060.joblib,fixed_reject_rate,0.1,,,,0.1,233,0.4206008583690987,0.5798816568047337,0.9115120274914089,0.9788,0.694424034334764,98,135,71,2024,0.9664808591885441,1.0
all,baseline_oof,789,rf,full,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.4183494689072975,0.9117904617904617,paper/models/final_flag_multiseed_loso/all_baseline_oof_testseed789_f060.joblib,validation_recall,0.8,0.32989690721649484,0.8,0.27904410433254917,0.20366332315743568,467,0.2698072805139186,0.8513513513513513,0.8416921064108155,1.0,0.7932436830835118,126,341,22,1804,,
all,baseline_oof,789,rf,full,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.4183494689072975,0.9117904617904617,paper/models/final_flag_multiseed_loso/all_baseline_oof_testseed789_f060.joblib,fixed_reject_rate,0.1,,,,0.1,229,0.39737991266375544,0.6148648648648649,0.914958569559529,0.98736,0.7093781659388647,91,138,57,2007,0.9693666666666667,1.0
all,v12_oof,123,hgb,full,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.524782197342977,0.8905388480665193,paper/models/final_flag_multiseed_loso/all_v12_oof_testseed123_f060.joblib,validation_recall,0.8,0.4214876033057851,0.8095238095238095,0.21522189566867106,0.16486261448792672,396,0.3686868686868687,0.6919431279620853,0.8688592839300583,0.98815,0.7172712121212121,146,250,65,1941,,
all,v12_oof,123,hgb,full,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.524782197342977,0.8905388480665193,paper/models/final_flag_multiseed_loso/all_v12_oof_testseed123_f060.joblib,fixed_reject_rate,0.1,,,,0.1,240,0.48333333333333334,0.5497630331753555,0.9088259783513739,0.9176000000000001,0.64734375,116,124,95,2067,0.9570314061054578,1.0
all,v12_oof,42,rf,full,2835,953,2328,169,0.07259450171821306,0.9392518041237113,0.6742400000000002,0.4925768492188967,0.9029355580465426,paper/models/final_flag_multiseed_loso/all_v12_oof_testseed42_f060.joblib,validation_recall,0.8,0.3597560975609756,0.8082191780821918,0.33413895349311346,0.1400343642611684,326,0.3374233128834356,0.650887573964497,0.881872852233677,0.99372,0.7478631901840491,110,216,59,1943,,
all,v12_oof,42,rf,full,2835,953,2328,169,0.07259450171821306,0.9392518041237113,0.6742400000000002,0.4925768492188967,0.9029355580465426,paper/models/final_flag_multiseed_loso/all_v12_oof_testseed42_f060.joblib,fixed_reject_rate,0.1,,,,0.1,233,0.4206008583690987,0.5798816568047337,0.9115120274914089,0.9788,0.6911828326180258,98,135,71,2024,0.9668413365155131,1.0
all,v12_oof,789,rf,no_lab,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.40499044672318696,0.9109305109305109,paper/models/final_flag_multiseed_loso/all_v12_oof_testseed789_f060.joblib,validation_recall,0.8,0.3333333333333333,0.8,0.27324085987323365,0.2006105538595726,460,0.27608695652173915,0.8581081081081081,0.8456170955080681,1.0,0.7895134782608696,127,333,21,1812,,
