seed,ablation,ablation_label,file,cell_type_gt,stage1_pred,stage1_conf,n_nodes,accuracy,neurite_macro_f1,soma_f1,axon_f1,basal_f1,apical_f1,pred_soma,pred_axon,pred_basal,pred_apical
123,full_branch3_gt_celltype,Full Branch3 (GT cell type),hpf_ca1__201990_024_edited.swc,pyramidal,,,22256,0.946262,0.578400,1.000000,1.000000,0.000000,0.735300,1,19398,0,2857
123,full_branch3_stage1_active,Full Branch3 (Stage1 active),hpf_ca1__201990_024_edited.swc,pyramidal,pyramidal,0.993977,22256,0.946262,0.578400,1.000000,1.000000,0.000000,0.735300,1,19398,0,2857
123,stage2_only_gt_celltype,Stage2 only (GT cell type),hpf_ca1__201990_025_edited.swc,pyramidal,,,86114,0.979121,0.641500,1.000000,0.999700,0.255800,0.668900,1,82278,309,3526
123,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),hpf_ca1__201990_025_edited.swc,pyramidal,,,86114,0.991558,0.871200,1.000000,0.999700,0.848700,0.765200,1,82278,2698,1137
123,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),hpf_ca1__201990_025_edited.swc,pyramidal,,,86114,0.979423,0.568000,1.000000,1.000000,0.704000,0.000000,1,82234,3879,0
123,full_branch3_gt_celltype,Full Branch3 (GT cell type),hpf_ca1__201990_025_edited.swc,pyramidal,,,86114,0.979423,0.568000,1.000000,1.000000,0.704000,0.000000,1,82234,3879,0
123,full_branch3_stage1_active,Full Branch3 (Stage1 active),hpf_ca1__201990_025_edited.swc,pyramidal,pyramidal,0.997212,86114,0.979423,0.568000,1.000000,1.000000,0.704000,0.000000,1,82234,3879,0
123,stage2_only_gt_celltype,Stage2 only (GT cell type),hpf_ca1__201990_031_edited.swc,pyramidal,,,55514,0.961523,0.738200,1.000000,0.997900,0.478500,,1,52616,980,1917
123,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),hpf_ca1__201990_031_edited.swc,pyramidal,,,55514,0.961523,0.738200,1.000000,0.997900,0.478500,,1,52616,980,1917
123,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),hpf_ca1__201990_031_edited.swc,pyramidal,,,55514,0.961523,0.739300,1.000000,1.000000,0.478500,,1,52397,980,2136
123,full_branch3_gt_celltype,Full Branch3 (GT cell type),hpf_ca1__201990_031_edited.swc,pyramidal,,,55514,0.961523,0.739300,1.000000,1.000000,0.478500,,1,52397,980,2136
123,full_branch3_stage1_active,Full Branch3 (Stage1 active),hpf_ca1__201990_031_edited.swc,pyramidal,pyramidal,0.997112,55514,0.961523,0.739300,1.000000,1.000000,0.478500,,1,52397,980,2136
123,stage2_only_gt_celltype,Stage2 only (GT cell type),hpf_ca1__201990_041_edited.swc,pyramidal,,,50121,0.992797,0.960200,1.000000,0.996200,0.924300,,1,47917,2203,0
123,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),hpf_ca1__201990_041_edited.swc,pyramidal,,,50121,0.992797,0.960200,1.000000,0.996200,0.924300,,1,47917,2203,0
123,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),hpf_ca1__201990_041_edited.swc,pyramidal,,,50121,1.000000,1.000000,1.000000,1.000000,1.000000,,1,47556,2564,0
