name,n_nodes,predicted_cell_type,stage1_correct,neurite_macro_f1,macro_f1,accuracy,n_apical_gt,n_basal_gt,n_axon_gt
neuromorpho__BC140224A_24.swc,104924,interneuron,True,1.0,1.0,1.0,0,4716,100207
neuromorpho__BC140226A_25.swc,90085,interneuron,True,0.6762,0.7841,0.8847,0,14085,75999
neuromorpho__BC150106A_26.swc,92169,interneuron,True,1.0,1.0,1.0,0,7695,84473
neuromorpho__BC150112A_27.swc,98757,interneuron,True,1.0,1.0,1.0,0,10474,88282
neuromorpho__BC150319A_28.swc,90767,interneuron,True,1.0,1.0,1.0,0,7626,83140
neuromorpho__BC150330C_29.swc,114665,interneuron,True,0.9704,0.9803,0.9881,0,13664,101000
neuromorpho__BC150330E_30.swc,78719,interneuron,True,1.0,1.0,1.0,0,6822,71896
neuromorpho__BC150410A_31.swc,89930,interneuron,True,0.9927,0.9952,0.9973,0,9031,80898
neuromorpho__BC150416A_32.swc,103204,interneuron,True,1.0,1.0,1.0,0,10174,93029
neuromorpho__BC150721A_33.swc,44315,interneuron,True,0.999,0.9993,0.9993,0,9512,34802
neuromorpho__BC160115E_35.swc,95939,interneuron,True,0.9724,0.9816,0.9894,0,10778,85160
neuromorpho__BC160201B_36.swc,54582,interneuron,True,1.0,1.0,1.0,0,9053,45528
neuromorpho__BC160212C_37.swc,67922,interneuron,True,0.9294,0.9529,0.9634,0,11627,56294
neuromorpho__BC160311D_38.swc,107602,interneuron,True,0.8349,0.8899,0.9343,0,15593,92008
neuromorpho__BC160620B_39.swc,88903,interneuron,True,0.8531,0.9021,0.9506,0,10434,78468
neuromorpho__BC170406B_40.swc,39831,interneuron,True,0.9647,0.9764,0.9729,0,10847,28983
neuromorpho__BC170412A_41.swc,42151,interneuron,True,0.9969,0.9979,0.9984,0,6491,35659
neuromorpho__BC170419I_42.swc,66018,interneuron,True,0.9219,0.9479,0.9648,0,9463,56554
neuromorpho__BC170419L_43.swc,82040,interneuron,True,1.0,1.0,1.0,0,8904,73135
neuromorpho__BC170425A_44.swc,90418,interneuron,True,1.0,1.0,1.0,0,9701,80716
neuromorpho__BC170426E_45.swc,106144,interneuron,True,0.9983,0.9989,0.9994,0,10148,95995
neuromorpho__BC170509E_46.swc,76448,interneuron,True,1.0,1.0,1.0,0,15913,60534
neuromorpho__c3271015.swc,1516,pyramidal,False,0.3313,0.5542,0.3648,0,717,798
neuromorpho__cell-10_8.swc,2158,interneuron,True,0.7478,0.8739,0.5973,0,2157,0
neuromorpho__Cell-11-Ch01.swc,371,interneuron,True,0.4854,0.6569,0.9434,0,349,21
neuromorpho__cell-11_8.swc,608,interneuron,True,0.9525,0.9763,0.9095,0,607,0
