file,n_nodes_conf,stage1_pred_conf_run,stage1_conf_conf_run,pred_axon_conf_run,pred_basal_conf_run,pred_apical_conf_run,node_label_disagree_frac,node_conf_abs_delta_mean,branch3_changed_frac,branch3_label_disagree_frac,branch3_conf_abs_delta_mean,branch3_axon_delta_frac,branch3_basal_delta_frac,branch3_apical_delta_frac,branch3_to_apical_frac,branch3_from_apical_frac,conf_mean,conf_std,conf_min,conf_p05,conf_p10,conf_p25,conf_median,conf_frac_lt_05,conf_frac_lt_06,conf_frac_lt_07,conf_frac_lt_08,conf_frac_lt_09,axon_conf_mean,axon_conf_p10,axon_conf_frac_lt_07,basal_conf_mean,basal_conf_p10,basal_conf_frac_lt_07,apical_conf_mean,apical_conf_p10,apical_conf_frac_lt_07,n_pred_branches,branch_conf_mean,branch_conf_min,branch_conf_p10,branch_frac_conf_lt_07,branch_frac_conf_lt_08,branch_n_nodes_p90,pred_soma_z,pred_axon_z_extent,pred_axon_z_mean_rel_soma,pred_axon_z_std,pred_axon_x_extent,pred_axon_y_extent,pred_basal_z_extent,pred_basal_z_mean_rel_soma,pred_basal_z_std,pred_basal_x_extent,pred_basal_y_extent,pred_apical_z_extent,pred_apical_z_mean_rel_soma,pred_apical_z_std,pred_apical_x_extent,pred_apical_y_extent
neuromorpho__A4_slide2_10.swc,941,pyramidal,0.981417,11,338,591,0,0,0,0,0,0,0,0,0,0,0.970529,0.0963,0.3,0.982145,0.982145,0.982145,0.982145,0.0201913,0.0201913,0.0201913,0.0201913,0.0201913,0.994317,0.994317,0,0.987703,0.987703,0,0.960215,0.982145,0.0321489,44,0.981628,0.3,0.982145,0,0,45.7,-26.984,2.33,9.37309,0.828958,4.07,15.83,65.99,29.0446,13.8803,201.13,194.27,57.57,27.5476,14.3742,114.83,465.51
neuromorpho__A4_slide2_2.swc,471,pyramidal,0.992494,13,176,281,0,0,0,0,0,0,0,0,0,0,0.842603,0.278141,0.3,0.3,0.3,0.982145,0.982145,0.208068,0.208068,0.208068,0.208068,0.208068,0.994343,0.994343,0,0.98754,0.987703,0,0.744244,0.3,0.348754,60,0.845993,0.3,0.3,0.2,0.2,17,-14.08,2.51,-4.52,0.677087,31.39,102.65,86.74,-18.2132,22.9204,356.01,231.61,82.6,-26.3064,16.9149,268.16,677.09
neuromorpho__A4_slide2_24.swc,530,pyramidal,0.986139,19,199,311,0,0,0,0,0.0162339,0,0,0,0,0,0.983509,0.00418851,0.966774,0.982145,0.982145,0.982145,0.982145,0,0,0,0,0,0.966774,0.966774,0,0.987155,0.982748,0,0.982145,0.982145,0,46,0.984145,0.966774,0.982145,0,0,21.5,-27.9069,11.67,2.77109,4.56081,23.84,37.81,19.61,7.19205,4.27653,93.47,120.78,37.85,17.3598,7.73095,95.06,383.16
neuromorpho__A4_slide2_3.swc,591,pyramidal,0.990749,16,270,304,0,0,0,0,0,0,0,0,0,0,0.963916,0.0974072,0.3,0.90561,0.982145,0.982145,0.982145,0.0169205,0.0169205,0.0169205,0.0439932,0.0439932,0.90561,0.90561,0,0.946729,0.987703,0.037037,0.98213,0.982145,0,75,0.976848,0.3,0.982145,0,0.0266667,15.6,-13.1467,7.53,-7.58083,2.83046,13.74,168.5,83.39,-0.133111,18.2254,246.73,260.35,82.62,3.65246,17.3779,196.89,582.53
neuromorpho__A4_slide2_neuron5.swc,543,pyramidal,0.959591,36,233,273,0,0,0,0,0,0,0,0,0,0,0.983891,0.00539015,0.962653,0.982145,0.982145,0.982145,0.982145,0,0,0,0,0,0.97201,0.962653,0,0.987703,0.987703,0,0.982145,0.982145,0,67,0.984611,0.962653,0.982145,0,0,16,-23.53,27.23,-3.845,7.58975,46.03,173.22,69.77,21.1065,15.5615,231.7,213.16,85.01,13.02,21.1842,152.45,246.38
neuromorpho__A4_slide3_13.swc,459,pyramidal,0.991402,61,167,230,0,0,0,0,0,0,0,0,0,0,0.970946,0.100221,0.3,0.981639,0.982145,0.982145,0.982145,0.0217865,0.0217865,0.0217865,0.0217865,0.0217865,0.994405,0.994405,0,0.987703,0.987703,0,0.952431,0.981639,0.0434783,62,0.963798,0.3,0.981733,0.0322581,0.0322581,16.6,-23.1536,41.35,-25.2046,13.0713,126.8,403.47,63.46,-7.78421,11.8694,233.85,210.08,73.54,-12.0295,18.8907,317.91,271.89
neuromorpho__A4_slide3_neuron1.swc,681,pyramidal,0.990645,30,295,355,0,0,0,0,0,0,0,0,0,0,0.980394,0.0457407,0.3,0.982145,0.982145,0.982145,0.982145,0.00440529,0.00440529,0.00440529,0.00440529,0.00440529,0.88839,0.88839,0.1,0.987577,0.987703,0,0.982145,0.982145,0,76,0.983652,0.3,0.982145,0,0,18,-21.1015,19.45,-5.27046,6.48708,29.56,183.09,50.35,1.70079,9.9428,301.7,196.38,59.75,19.322,12.3871,267.54,320.61
neuromorpho__A4_slide4_neuron1.swc,869,pyramidal,0.981753,31,479,358,0,0,0,0,0,0,0,0,0,0,0.985667,0.00321809,0.982145,0.982145,0.982145,0.982145,0.987703,0,0,0,0,0,0.994405,0.994405,0,0.987703,0.987703,0,0.982145,0.982145,0,62,0.984872,0.982145,0.982145,0,0,33.7,-21.5011,7.71,-11.016,3.27105,50.09,70.55,72.65,-5.24216,15.7118,210.25,198.58,38.99,-16.7278,7.88909,127.65,224.53
neuromorpho__A4_slide4_neuron1_II_III.swc,981,pyramidal,0.969058,251,218,511,0,0,0,0,0,0,0,0,0,0,0.954178,0.0534016,0.844913,0.844913,0.844913,0.940273,0.982145,0,0,0,0,0.169215,0.867521,0.844913,0,0.988189,0.987703,0,0.982145,0.982145,0,53,0.957696,0.844913,0.84621,0,0,40,-22.6385,56.09,-20.2578,14.69,139.19,136.12,91.9,1.62342,19.7578,102.39,130.15,85.01,3.38304,14.3077,233.59,218.88
neuromorpho__A586_NeuronA_40X_Tile_Trace_RK.swc,947,pyramidal,0.990632,226,720,0,0,0,0,0,0,0,0,0,0,0,0.949428,0.0746557,0.739786,0.779349,0.80995,0.987681,0.987703,0,0,0,0.0844773,0.184794,0.827338,0.779349,0,0.98768,0.987693,0,0,0,0,66,0.945228,0.739786,0.812372,0,0.0909091,34.5,0,0,0,0,24.5,65.33,0,0,0,75.47,38.83,0,0,0,0,0
