experiment,feature_mode,subset,target,n_rows,n_bad,bad_rate,saved_bundle,target_recall,model_name,feature_set,val_precision,val_recall,score_threshold,test_precision,test_recall,test_n_rejected,test_tp,test_fp,test_fn,test_accuracy,test_kept_f1_p10,val_ap,test_ap
single_cell_f060,xmodel,pyramidal,cell_f060,1745,177,0.101432664756447,,0.9,gb,full,0.375,0.9166666666666666,0.04620572789067051,0.3684210526315789,0.8,76,28,48,7,0.8424068767908309,0.99114,0.5947289634061612,0.483347815801588
single_cell_f060,xmodel,pyramidal,cell_f060,1745,177,0.101432664756447,,0.95,gb,numeric_only,0.22151898734177214,0.9722222222222222,0.013968160525544235,0.2191780821917808,0.9142857142857143,146,32,114,3,0.664756446991404,1.0,0.5601402216871668,0.4805341022806065
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,axon_f050,1745,177,0.101432664756447,,0.5,hgb,full,0.28125,0.5,0.020956933916685596,0.2647058823529412,0.5142857142857142,68,18,50,17,0.8080229226361032,0.8571,0.3619052393164576,0.417663593961114
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,axon_f050,1745,177,0.101432664756447,,0.7,gb,full,0.21138211382113822,0.7222222222222222,0.016467410872482137,0.22857142857142856,0.6857142857142857,105,24,81,11,0.7363896848137536,0.99373,0.4380157694268643,0.4285721015432407
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,axon_f050,1745,177,0.101432664756447,,0.8,gb,full,0.19863013698630136,0.8055555555555556,0.012745455209615203,0.19083969465648856,0.7142857142857143,131,25,106,10,0.667621776504298,0.9952000000000001,0.4380157694268643,0.4285721015432407
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,axon_f050,1745,177,0.101432664756447,,0.9,rf,no_lab,0.16751269035532995,0.9166666666666666,0.00489165544855351,0.165,0.9428571428571428,200,33,167,2,0.5157593123209169,1.0,0.37573586444693186,0.39726957491477227
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,axon_f050,1745,177,0.101432664756447,,0.95,rf,no_lab,0.15151515151515152,0.9722222222222222,0.002168391041827866,0.15348837209302327,0.9428571428571428,215,33,182,2,0.47277936962750716,1.0,0.37573586444693186,0.39726957491477227
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,basal_f060,1745,177,0.101432664756447,,0.5,rf,no_lab,0.5806451612903226,0.5,0.2010421377794064,0.5625,0.5142857142857142,32,18,14,17,0.9111747851002865,0.73646,0.43682662697883706,0.42867193625222866
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,basal_f060,1745,177,0.101432664756447,,0.7,hgb,no_lab,0.3333333333333333,0.7222222222222222,0.0035682296257316475,0.3968253968253968,0.7142857142857143,63,25,38,10,0.8624641833810889,0.8772500000000001,0.3466951343114427,0.5518758139505971
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,basal_f060,1745,177,0.101432664756447,,0.8,rf,full,0.27358490566037735,0.8055555555555556,0.06919851484247576,0.32323232323232326,0.9142857142857143,99,32,67,3,0.7994269340974212,0.99756,0.4451403229030172,0.4296430026289927
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,basal_f060,1745,177,0.101432664756447,,0.9,gb,full,0.21153846153846154,0.9166666666666666,0.006505330827957867,0.22857142857142856,0.9142857142857143,140,32,108,3,0.6819484240687679,0.99686,0.23220323326024866,0.3865037226001539
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,basal_f060,1745,177,0.101432664756447,,0.95,gb,no_lab,0.2033898305084746,1.0,0.005758914064393635,0.20245398773006135,0.9428571428571428,163,33,130,2,0.6217765042979942,1.0,0.23005428107768586,0.37597991941224895
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,apical_f050,1745,177,0.101432664756447,,0.5,hgb,full,0.5454545454545454,0.5,0.07961648241022082,0.5555555555555556,0.5714285714285714,36,20,16,15,0.9111747851002865,0.8081,0.476649791926414,0.5828442075933877
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,apical_f050,1745,177,0.101432664756447,,0.7,gb,full,0.37142857142857144,0.7222222222222222,0.019907147786790272,0.34782608695652173,0.6857142857142857,69,24,45,11,0.839541547277937,0.8721300000000001,0.49838874540585626,0.508283107509575
single_failure_head_ranked_against_cell_f060,xmodel,pyramidal,apical_f050,1745,177,0.101432664756447,,0.8,gb,numeric_only,0.32222222222222224,0.8055555555555556,0.009423930043209154,0.30120481927710846,0.7142857142857143,83,25,58,10,0.8051575931232091,0.9287,0.50916492614475,0.46280994073473736
