row_id,model_seed,file,cell_type_gt,n_nodes,seed_used,held_out_F1,acc,axon_F1,basal_F1,apical_F1,stage1_pred,stage1_conf,stage1_correct,n_components,soma_z,apical_mean_z,apical_above_soma,apical_z_extent,axon_frac,apical_frac,basal_frac,pred_axon,pred_basal,pred_apical,elapsed_s,source,bad_f060,categories,n_categories,flag_score,flagged,flag_selected_model,flag_selected_feature_set,in_bottom_slice
seed123:neuromorpho__MAM02_Neuron3_CA1_PN_D_Slide3_R2_C2.swc,123,neuromorpho__MAM02_Neuron3_CA1_PN_D_Slide3_R2_C2.swc,pyramidal,391,v12_gentle_seed123,1.0,1.0,,,1.0,pyramidal,0.939,True,1,0.0,32.27,32.27,61.5,0.0,0.997,0.0,0,0,390,0.7,neuromorpho,False,,0,0.0009121876696537,False,hgb,full,False
seed123:neuromorpho__MAM02_Neuron4_CA1_PN_D_Slide4_R1_C1_40x.swc,123,neuromorpho__MAM02_Neuron4_CA1_PN_D_Slide4_R1_C1_40x.swc,pyramidal,468,v12_gentle_seed123,1.0,1.0,,,1.0,pyramidal,0.988,True,1,0.0,-3.92,-3.92,141.24,0.0,0.998,0.0,0,0,467,0.68,neuromorpho,False,APICAL_INVERTED,1,0.0039260883530207,False,hgb,full,False
seed123:neuromorpho__M_F_10.swc,123,neuromorpho__M_F_10.swc,interneuron,18607,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.9934,True,1,7.51,,,0.0,0.826,0.0,0.174,15369,3237,0,1.59,neuromorpho,False,,0,0.0082668487729181,False,hgb,full,False
seed123:neuromorpho__M_F_7.swc,123,neuromorpho__M_F_7.swc,interneuron,16279,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.9945,True,1,4.38,,,0.0,0.798,0.0,0.202,12994,3284,0,1.78,neuromorpho,False,,0,0.0030916188546386,False,hgb,full,False
seed123:neuromorpho__Miro1KO250716S1C120X.swc,123,neuromorpho__Miro1KO250716S1C120X.swc,interneuron,3007,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.9947,True,1,0.74,,,0.0,0.86,0.0,0.14,2586,420,0,1.48,neuromorpho,False,,0,0.0243674148309657,False,hgb,full,False
seed123:neuromorpho__Miro1KO250916S1C120X.swc,123,neuromorpho__Miro1KO250916S1C120X.swc,interneuron,6148,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.9957,True,1,0.1,,,0.0,0.868,0.0,0.132,5335,812,0,1.97,neuromorpho,False,,0,0.0444805098144754,False,hgb,full,False
seed123:neuromorpho__Miro1WT081016SL2S2C120X.swc,123,neuromorpho__Miro1WT081016SL2S2C120X.swc,interneuron,8516,v12_gentle_seed123,0.9217,0.9716,0.9842,0.8593,,interneuron,0.9968,True,1,1.8,,,0.0,0.885,0.0,0.115,7776,739,0,2.01,neuromorpho,False,,0,0.1003575715805057,False,hgb,full,False
seed123:neuromorpho__Mouse-CA2-Ma-Pyramidal-Cell-1.swc,123,neuromorpho__Mouse-CA2-Ma-Pyramidal-Cell-1.swc,pyramidal,1391,v12_gentle_seed123,1.0,1.0,,1.0,1.0,pyramidal,0.978,True,1,4.65,-29.82,-34.47,190.35,0.0,0.753,0.247,0,343,1047,1.04,neuromorpho,False,APICAL_INVERTED,1,0.0048708702687546,False,hgb,full,False
seed123:neuromorpho__Mouse-CA2-Ma-Pyramidal-Cell-2.swc,123,neuromorpho__Mouse-CA2-Ma-Pyramidal-Cell-2.swc,pyramidal,1671,v12_gentle_seed123,1.0,1.0,,1.0,1.0,pyramidal,0.9919,True,1,-1.0,-26.62,-25.62,154.98,0.0,0.696,0.303,0,507,1163,1.15,neuromorpho,False,APICAL_INVERTED,1,0.0058377816793813,False,hgb,full,False
seed123:neuromorpho__Mouse_CA2_Mc_Cell_5.swc,123,neuromorpho__Mouse_CA2_Mc_Cell_5.swc,pyramidal,2682,v12_gentle_seed123,1.0,1.0,,1.0,1.0,pyramidal,0.7145,True,1,0.01,-7.1,-7.11,115.57,0.0,0.671,0.328,0,881,1800,0.8,neuromorpho,False,APICAL_INVERTED,1,0.0095391955872911,False,hgb,full,False
seed123:neuromorpho__N002.swc,123,neuromorpho__N002.swc,pyramidal,1424,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.98,True,1,0.0,-3.38,-3.38,173.11,0.402,0.331,0.265,573,378,472,0.79,neuromorpho,False,APICAL_INVERTED,1,0.0135033382419152,False,hgb,full,False
seed123:neuromorpho__N010.swc,123,neuromorpho__N010.swc,pyramidal,2115,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9934,True,1,0.0,5.05,5.05,151.75,0.559,0.266,0.174,1182,369,563,0.83,neuromorpho,False,,0,0.0211257946144467,False,hgb,full,False
seed123:neuromorpho__N012.swc,123,neuromorpho__N012.swc,pyramidal,1371,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9802,True,1,0.0,1.03,1.03,114.01,0.55,0.26,0.19,754,260,356,0.74,neuromorpho,False,,0,0.0125276051292321,False,hgb,full,False
seed123:neuromorpho__N013.swc,123,neuromorpho__N013.swc,pyramidal,2608,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9923,True,1,0.0,-29.24,-29.24,212.08,0.316,0.339,0.345,824,900,883,1.03,neuromorpho,False,APICAL_INVERTED,1,0.007239680468215,False,hgb,full,False
seed123:neuromorpho__N023.swc,123,neuromorpho__N023.swc,pyramidal,7346,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9911,True,1,0.0,-9.88,-9.88,252.54,0.43,0.514,0.057,3156,416,3773,1.37,neuromorpho,False,APICAL_INVERTED,1,0.0090130402195537,False,hgb,full,False
seed123:neuromorpho__N041.swc,123,neuromorpho__N041.swc,pyramidal,3587,v12_gentle_seed123,1.0,1.0,,1.0,1.0,pyramidal,0.9287,True,1,0.0,15.1,15.1,321.26,0.0,0.73,0.27,0,968,2618,1.12,neuromorpho,False,,0,0.012555675637714,False,hgb,full,False
seed123:neuromorpho__N044.swc,123,neuromorpho__N044.swc,pyramidal,2877,v12_gentle_seed123,1.0,1.0,,1.0,1.0,pyramidal,0.9677,True,1,0.0,3.62,3.62,336.55,0.0,0.51,0.49,0,1409,1467,1.11,neuromorpho,False,,0,0.0072269109188059,False,hgb,full,False
seed123:neuromorpho__N050.swc,123,neuromorpho__N050.swc,pyramidal,1907,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9782,True,1,0.0,5.64,5.64,170.09,0.552,0.305,0.143,1052,272,582,0.83,neuromorpho,False,,0,0.0364960796602672,False,hgb,full,False
seed123:neuromorpho__N051.swc,123,neuromorpho__N051.swc,pyramidal,2110,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9708,True,1,0.0,-5.21,-5.21,86.68,0.545,0.338,0.117,1149,246,714,0.8,neuromorpho,False,APICAL_INVERTED,1,0.0297189898436296,False,hgb,full,False
seed123:neuromorpho__N054.swc,123,neuromorpho__N054.swc,pyramidal,6634,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.99,True,1,0.0,8.45,8.45,295.5,0.425,0.295,0.28,2818,1857,1958,1.42,neuromorpho,False,,0,0.0023393067742977,False,hgb,full,False
seed123:neuromorpho__N055.swc,123,neuromorpho__N055.swc,pyramidal,4788,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.989,True,1,0.0,7.28,7.28,187.34,0.681,0.179,0.14,3260,670,857,1.11,neuromorpho,False,,0,0.0080651086148987,False,hgb,full,False
seed123:neuromorpho__N056.swc,123,neuromorpho__N056.swc,pyramidal,1775,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.8403,True,1,0.0,-4.4,-4.4,230.29,0.092,0.493,0.414,164,735,875,0.8,neuromorpho,False,APICAL_INVERTED,1,0.3428134792580811,False,hgb,full,False
seed123:neuromorpho__N057.swc,123,neuromorpho__N057.swc,pyramidal,6488,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9785,True,1,0.0,-8.11,-8.11,311.79,0.617,0.261,0.122,4006,790,1691,1.3,neuromorpho,False,APICAL_INVERTED,1,0.0059657518778345,False,hgb,full,False
seed123:neuromorpho__N060.swc,123,neuromorpho__N060.swc,pyramidal,4272,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9936,True,1,0.0,4.18,4.18,140.21,0.503,0.221,0.276,2148,1179,944,1.03,neuromorpho,False,,0,0.0115493371881233,False,hgb,full,False
seed123:neuromorpho__N063.swc,123,neuromorpho__N063.swc,pyramidal,3307,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9932,True,1,0.0,-1.93,-1.93,94.39,0.64,0.212,0.148,2115,490,701,0.77,neuromorpho,False,APICAL_INVERTED,1,0.0308511443987314,False,hgb,full,False
seed123:neuromorpho__N066.swc,123,neuromorpho__N066.swc,pyramidal,9070,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9835,True,1,0.0,3.96,3.96,342.86,0.507,0.309,0.184,4595,1673,2801,1.62,neuromorpho,False,,0,0.005356523373776,False,hgb,full,False
seed123:neuromorpho__N079.swc,123,neuromorpho__N079.swc,pyramidal,2625,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.8814,True,1,0.0,-1.02,-1.02,89.2,0.698,0.184,0.117,1833,308,483,0.72,neuromorpho,False,APICAL_INVERTED,1,0.0594026443977692,False,hgb,full,False
seed123:neuromorpho__N088.swc,123,neuromorpho__N088.swc,pyramidal,4057,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9742,True,1,0.0,11.42,11.42,162.77,0.39,0.481,0.128,1583,521,1952,1.07,neuromorpho,False,,0,0.0045473472724441,False,hgb,full,False
seed123:neuromorpho__N093.swc,123,neuromorpho__N093.swc,pyramidal,3317,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9852,True,1,0.0,-3.25,-3.25,179.73,0.394,0.379,0.227,1306,754,1256,1.09,neuromorpho,False,APICAL_INVERTED,1,0.0091705358241354,False,hgb,full,False
seed123:neuromorpho__N104.swc,123,neuromorpho__N104.swc,pyramidal,2401,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.981,True,1,0.0,-4.09,-4.09,165.91,0.652,0.175,0.172,1566,413,421,0.71,neuromorpho,False,APICAL_INVERTED,1,0.0202308339169914,False,hgb,full,False
seed123:neuromorpho__N105.swc,123,neuromorpho__N105.swc,pyramidal,2138,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9902,True,1,0.0,-29.46,-29.46,192.04,0.54,0.24,0.22,1154,470,513,0.76,neuromorpho,False,APICAL_INVERTED,1,0.0072790703063274,False,hgb,full,False
seed123:neuromorpho__NAS11.swc,123,neuromorpho__NAS11.swc,interneuron,2029,v12_gentle_seed123,1.0,1.0,,1.0,,interneuron,0.9691,True,1,0.0,,,0.0,0.0,0.0,1.0,0,2028,0,0.6,neuromorpho,False,,0,0.2090395049945585,False,hgb,full,False
seed123:neuromorpho__NAS12.swc,123,neuromorpho__NAS12.swc,interneuron,1353,v12_gentle_seed123,0.6281,0.4582,,0.6281,,interneuron,0.8043,True,1,0.0,,,0.0,0.0,0.0,0.999,733,619,0,0.3,neuromorpho,False,,0,0.4632665288434872,False,hgb,full,True
seed123:neuromorpho__NGFC_160209_1M.swc,123,neuromorpho__NGFC_160209_1M.swc,interneuron,8767,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.9969,True,1,0.69,,,0.0,0.825,0.0,0.175,7229,1537,0,1.13,neuromorpho,False,,0,0.0069060805135856,False,hgb,full,False
seed123:neuromorpho__NGFC_160324_1M.swc,123,neuromorpho__NGFC_160324_1M.swc,interneuron,25296,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.9972,True,1,-3.14,,,0.0,0.878,0.0,0.122,22205,3090,0,2.6,neuromorpho,False,,0,0.0016469880225972,False,hgb,full,False
seed123:neuromorpho__NICRF09-3.swc,123,neuromorpho__NICRF09-3.swc,interneuron,1267,v12_gentle_seed123,0.4952,0.9811,0.0,0.9904,,interneuron,0.9011,True,1,3.95,,,0.0,0.019,0.0,0.98,0,1266,0,0.3,neuromorpho,True,AXON_DENDRITE_CONFUSION,1,0.2821418673419159,False,hgb,full,True
seed123:neuromorpho__Ndnf-IRES2-dgCre_Ai14-280611-04-02-02_582654012_m.swc,123,neuromorpho__Ndnf-IRES2-dgCre_Ai14-280611-04-02-02_582654012_m.swc,interneuron,1786,v12_gentle_seed123,0.4875,0.9513,0.0,0.975,,interneuron,0.5544,True,1,0.0,,,0.0,0.049,0.0,0.951,0,1785,0,0.32,neuromorpho,True,AXON_DENDRITE_CONFUSION,1,0.1030894058270004,False,hgb,full,True
seed123:neuromorpho__Ndnf-IRES2-dgCre_Ai14-290382-04-01-01_584237322_m.swc,123,neuromorpho__Ndnf-IRES2-dgCre_Ai14-290382-04-01-01_584237322_m.swc,interneuron,13121,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.9876,True,1,0.0,,,0.0,0.887,0.0,0.113,11632,1488,0,1.2,neuromorpho,False,,0,0.0020839270472222,False,hgb,full,False
seed123:neuromorpho__Ndnf-IRES2-dgCre_Ai14-306261-05-02-01_591276334_m.swc,123,neuromorpho__Ndnf-IRES2-dgCre_Ai14-306261-05-02-01_591276334_m.swc,interneuron,15925,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.9956,True,1,0.0,,,0.0,0.82,0.0,0.18,13056,2868,0,1.38,neuromorpho,False,,0,0.0017021676704816,False,hgb,full,False
seed123:neuromorpho__Neuron-1-E-and-I-synapses.swc,123,neuromorpho__Neuron-1-E-and-I-synapses.swc,pyramidal,38579,v12_gentle_seed123,0.5,0.3669,,1.0,0.0,pyramidal,0.948,True,1,1.4,-29.2,-30.59,85.15,0.0,0.633,0.367,24425,14153,0,3.28,neuromorpho,True,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED,3,0.9821262836660782,True,hgb,full,True
seed123:neuromorpho__Neuron-10-E-and-I-synapses.swc,123,neuromorpho__Neuron-10-E-and-I-synapses.swc,pyramidal,40264,v12_gentle_seed123,1.0,1.0,,1.0,1.0,pyramidal,0.9683,True,1,-0.18,1.04,1.23,56.54,0.0,0.34,0.66,0,26576,13687,3.44,neuromorpho,False,,0,0.101404974157256,False,hgb,full,False
seed123:neuromorpho__Neuron-3_2_1.swc,123,neuromorpho__Neuron-3_2_1.swc,pyramidal,2913,v12_gentle_seed123,0.9032,0.8235,,0.9032,,pyramidal,0.8308,True,1,0.0,,,0.0,0.0,0.0,1.0,514,2398,0,0.72,neuromorpho,False,,0,0.6867316511514475,True,hgb,full,False
seed123:neuromorpho__Neuron-3_2_2.swc,123,neuromorpho__Neuron-3_2_2.swc,pyramidal,1575,v12_gentle_seed123,0.7508,0.6013,,0.7508,,pyramidal,0.8739,True,1,0.0,,,0.0,0.0,0.0,0.999,628,946,0,0.6,neuromorpho,False,,0,0.3308613114078881,False,hgb,full,False
seed123:neuromorpho__Neuron-4-E-and-I-synapses.swc,123,neuromorpho__Neuron-4-E-and-I-synapses.swc,pyramidal,41106,v12_gentle_seed123,0.9113,0.8166,,0.8226,1.0,pyramidal,0.9734,True,1,-0.51,-13.19,-12.68,69.23,0.0,0.391,0.609,7537,17480,16088,3.63,neuromorpho,False,APICAL_INVERTED,1,0.0704403769339719,False,hgb,full,False
seed123:neuromorpho__Nos1-CreERT2_Sst-IRES-FlpO_Ai65-243223-04-01-01_537045067_m.swc,123,neuromorpho__Nos1-CreERT2_Sst-IRES-FlpO_Ai65-243223-04-01-01_537045067_m.swc,interneuron,2294,v12_gentle_seed123,0.4978,0.9913,0.0,0.9956,,interneuron,0.9304,True,1,0.0,,,0.0,0.009,0.0,0.991,0,2293,0,0.36,neuromorpho,True,AXON_DENDRITE_CONFUSION,1,0.3782494375376883,False,hgb,full,True
seed123:neuromorpho__Nos1-CreERT2_Sst-IRES-FlpO_Ai65-271577-05-02-01_601947916_m.swc,123,neuromorpho__Nos1-CreERT2_Sst-IRES-FlpO_Ai65-271577-05-02-01_601947916_m.swc,interneuron,12545,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.9965,True,1,0.0,,,0.0,0.849,0.0,0.151,10646,1898,0,1.15,neuromorpho,False,,0,0.0044407834311562,False,hgb,full,False
seed123:neuromorpho__Nos1-CreERT2_Sst-IRES-FlpO_Ai65-315002-02-02-01_614431995_m.swc,123,neuromorpho__Nos1-CreERT2_Sst-IRES-FlpO_Ai65-315002-02-02-01_614431995_m.swc,interneuron,16690,v12_gentle_seed123,0.9498,0.9882,0.9937,0.9059,,interneuron,0.9907,True,1,0.0,,,0.0,0.943,0.0,0.057,15544,1145,0,1.32,neuromorpho,False,,0,0.017121278533431,False,hgb,full,False
seed123:neuromorpho__Nov3ir2fo-stitch.swc,123,neuromorpho__Nov3ir2fo-stitch.swc,pyramidal,2253,v12_gentle_seed123,1.0,1.0,,1.0,1.0,pyramidal,0.9023,True,1,6.63,-8.43,-15.05,63.6,0.0,0.328,0.671,0,1512,740,0.84,neuromorpho,False,APICAL_INVERTED,1,0.0186835409861253,False,hgb,full,False
seed123:neuromorpho__OLM-P-02-03-2011_Z04.swc,123,neuromorpho__OLM-P-02-03-2011_Z04.swc,interneuron,14317,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.9898,True,1,0.0,,,0.0,0.712,0.0,0.288,10199,4117,0,0.66,neuromorpho,False,,0,0.2457647479503425,False,hgb,full,False
seed123:neuromorpho__OLM-S-25-10-2010_Z02.swc,123,neuromorpho__OLM-S-25-10-2010_Z02.swc,interneuron,16850,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.9835,True,1,0.0,,,0.0,0.631,0.0,0.369,10627,6222,0,0.71,neuromorpho,False,,0,0.6457509191528664,True,hgb,full,False
seed123:neuromorpho__Oct9-IR3-4fo.swc,123,neuromorpho__Oct9-IR3-4fo.swc,pyramidal,1523,v12_gentle_seed123,1.0,1.0,,1.0,1.0,pyramidal,0.993,True,1,0.0,15.34,15.34,120.58,0.0,0.634,0.366,0,557,965,0.96,neuromorpho,False,,0,0.2477154444372016,False,hgb,full,False
seed123:neuromorpho__Oct9IR2q-40x.swc,123,neuromorpho__Oct9IR2q-40x.swc,pyramidal,9125,v12_gentle_seed123,1.0,1.0,,1.0,1.0,pyramidal,0.9825,True,1,0.0,2.95,2.95,77.41,0.0,0.47,0.53,0,4833,4291,1.6,neuromorpho,False,,0,0.1625258539273673,False,hgb,full,False
seed123:neuromorpho__Oxtr-2A-Cre_Ai14-293839-02-02-02_623439672_m.swc,123,neuromorpho__Oxtr-2A-Cre_Ai14-293839-02-02-02_623439672_m.swc,interneuron,20196,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.9966,True,1,0.0,,,0.0,0.892,0.0,0.108,18023,2172,0,1.9,neuromorpho,False,,0,0.0014151958755889,False,hgb,full,False
seed123:neuromorpho__Oxtr-2A-Cre_Ai14-293839-06-01-01_599474816_m.swc,123,neuromorpho__Oxtr-2A-Cre_Ai14-293839-06-01-01_599474816_m.swc,interneuron,17421,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.9967,True,1,0.0,,,0.0,0.913,0.0,0.087,15906,1514,0,2.23,neuromorpho,False,,0,0.0035116588145582,False,hgb,full,False
seed123:neuromorpho__Oxtr-T2A-Cre_Ai14-309030-05-02-01_658232461_m.swc,123,neuromorpho__Oxtr-T2A-Cre_Ai14-309030-05-02-01_658232461_m.swc,interneuron,16602,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.9973,True,1,0.0,,,0.0,0.873,0.0,0.127,14487,2114,0,2.07,neuromorpho,False,,0,0.0055344228897299,False,hgb,full,False
seed123:neuromorpho__P111102-05-horiz-AAC.swc,123,neuromorpho__P111102-05-horiz-AAC.swc,interneuron,1851,v12_gentle_seed123,1.0,1.0,,1.0,,interneuron,0.3842,True,1,15.0,,,0.0,0.0,0.0,0.999,0,1850,0,0.33,neuromorpho,False,,0,0.6020394941065647,True,hgb,full,False
seed123:neuromorpho__P111106-02-BC.swc,123,neuromorpho__P111106-02-BC.swc,interneuron,2443,v12_gentle_seed123,1.0,1.0,,1.0,,interneuron,0.5453,True,1,-15.0,,,0.0,0.0,0.0,1.0,0,2442,0,0.34,neuromorpho,False,,0,0.0574473808286715,False,hgb,full,False
seed123:neuromorpho__P111123-01-AAC.swc,123,neuromorpho__P111123-01-AAC.swc,interneuron,2647,v12_gentle_seed123,0.972,0.9456,,0.972,,interneuron,0.9685,True,1,3.0,,,0.0,0.0,0.0,1.0,144,2502,0,0.37,neuromorpho,False,,0,0.852054664414385,True,hgb,full,False
seed123:neuromorpho__P111123-04n2-AAC.swc,123,neuromorpho__P111123-04n2-AAC.swc,interneuron,1300,v12_gentle_seed123,1.0,1.0,,1.0,,interneuron,0.9016,True,1,-3.0,,,0.0,0.0,0.0,0.999,0,1299,0,0.25,neuromorpho,False,,0,0.0314506882494363,False,hgb,full,False
seed123:neuromorpho__P120115-03-AAC.swc,123,neuromorpho__P120115-03-AAC.swc,interneuron,779,v12_gentle_seed123,1.0,1.0,,1.0,,interneuron,0.5053,True,1,-21.06,,,0.0,0.0,0.0,0.999,0,778,0,0.27,neuromorpho,False,,0,0.498635933689431,True,hgb,full,False
seed123:neuromorpho__PDE1c_vGluT2-KO_IN07.swc,123,neuromorpho__PDE1c_vGluT2-KO_IN07.swc,interneuron,691,v12_gentle_seed123,1.0,1.0,,1.0,,interneuron,0.8321,True,1,0.0,,,0.0,0.0,0.0,0.999,0,690,0,0.3,neuromorpho,False,,0,0.14911663075492,False,hgb,full,False
seed123:neuromorpho__PDE1c_vGluT2-KO_IN14.swc,123,neuromorpho__PDE1c_vGluT2-KO_IN14.swc,interneuron,261,v12_gentle_seed123,1.0,1.0,,1.0,,interneuron,0.9202,True,1,0.0,,,0.0,0.0,0.0,0.996,0,260,0,0.23,neuromorpho,False,,0,0.0071179703991,False,hgb,full,False
seed123:neuromorpho__PDE1c_vGluT2-KO_IN19.swc,123,neuromorpho__PDE1c_vGluT2-KO_IN19.swc,interneuron,672,v12_gentle_seed123,1.0,1.0,,1.0,,interneuron,0.9338,True,1,0.0,,,0.0,0.0,0.0,0.999,0,671,0,0.36,neuromorpho,False,,0,0.0202654748690755,False,hgb,full,False
seed123:neuromorpho__PDE1c_vGluT2-KO_IN22.swc,123,neuromorpho__PDE1c_vGluT2-KO_IN22.swc,interneuron,659,v12_gentle_seed123,1.0,1.0,,1.0,,interneuron,0.7646,True,1,0.0,,,0.0,0.0,0.0,0.998,0,658,0,0.28,neuromorpho,False,,0,0.0197994314351042,False,hgb,full,False
seed123:neuromorpho__PDE1c_vGluT2-KO_IN23.swc,123,neuromorpho__PDE1c_vGluT2-KO_IN23.swc,interneuron,455,v12_gentle_seed123,1.0,1.0,,1.0,,interneuron,0.8818,True,1,-0.0,,,0.0,0.0,0.0,0.998,0,454,0,0.31,neuromorpho,False,,0,0.0059904976984283,False,hgb,full,False
seed123:neuromorpho__PDE1c_vGluT2-KO_IN27.swc,123,neuromorpho__PDE1c_vGluT2-KO_IN27.swc,interneuron,910,v12_gentle_seed123,1.0,1.0,,1.0,,interneuron,0.7483,True,1,0.0,,,0.0,0.0,0.0,0.999,0,909,0,0.27,neuromorpho,False,,0,0.2593908123765664,False,hgb,full,False
seed123:neuromorpho__PDE1c_vGluT2-KO_IN28.swc,123,neuromorpho__PDE1c_vGluT2-KO_IN28.swc,interneuron,1024,v12_gentle_seed123,1.0,1.0,,1.0,,interneuron,0.9392,True,1,0.0,,,0.0,0.0,0.0,0.999,0,1023,0,0.28,neuromorpho,False,,0,0.3443419531466962,False,hgb,full,False
seed123:neuromorpho__PDE1c_vGluT2-KO_IN29.swc,123,neuromorpho__PDE1c_vGluT2-KO_IN29.swc,interneuron,705,v12_gentle_seed123,1.0,1.0,,1.0,,interneuron,0.964,True,1,0.0,,,0.0,0.0,0.0,0.999,0,704,0,0.27,neuromorpho,False,,0,0.0695098183175049,False,hgb,full,False
seed123:neuromorpho__PDE1c_vGluT2-KO_IN30.swc,123,neuromorpho__PDE1c_vGluT2-KO_IN30.swc,interneuron,605,v12_gentle_seed123,1.0,1.0,,1.0,,interneuron,0.9727,True,1,0.0,,,0.0,0.0,0.0,0.998,0,604,0,0.36,neuromorpho,False,,0,0.0549478805029201,False,hgb,full,False
seed123:neuromorpho__PDE1c_vGluT2-KO_IN34.swc,123,neuromorpho__PDE1c_vGluT2-KO_IN34.swc,interneuron,630,v12_gentle_seed123,1.0,1.0,,1.0,,interneuron,0.6145,True,1,0.0,,,0.0,0.0,0.0,0.998,0,629,0,0.27,neuromorpho,False,,0,0.026634804770956,False,hgb,full,False
seed123:neuromorpho__PDE1c_vGluT2-KO_IN39.swc,123,neuromorpho__PDE1c_vGluT2-KO_IN39.swc,interneuron,737,v12_gentle_seed123,1.0,1.0,,1.0,,interneuron,0.9171,True,1,0.0,,,0.0,0.0,0.0,0.999,0,736,0,0.32,neuromorpho,False,,0,0.020500549229833,False,hgb,full,False
seed123:neuromorpho__PDE1c_vGluT2-ctrl_IN04.swc,123,neuromorpho__PDE1c_vGluT2-ctrl_IN04.swc,interneuron,353,v12_gentle_seed123,1.0,1.0,,1.0,,pyramidal,0.7072,False,1,-0.0,,,0.0,0.0,0.0,0.997,0,352,0,0.59,neuromorpho,False,,0,0.0149845005344612,False,hgb,full,False
seed123:neuromorpho__PDE1c_vGluT2-ctrl_IN11.swc,123,neuromorpho__PDE1c_vGluT2-ctrl_IN11.swc,interneuron,823,v12_gentle_seed123,1.0,1.0,,1.0,,pyramidal,0.6586,False,1,0.0,,,0.0,0.0,0.0,0.999,0,822,0,0.66,neuromorpho,False,,0,0.0150381028467922,False,hgb,full,False
seed123:neuromorpho__PDE1c_vGluT2-ctrl_IN13.swc,123,neuromorpho__PDE1c_vGluT2-ctrl_IN13.swc,interneuron,382,v12_gentle_seed123,1.0,1.0,,1.0,,interneuron,0.8282,True,1,0.0,,,0.0,0.0,0.0,0.997,0,381,0,0.26,neuromorpho,False,,0,0.0203375250495103,False,hgb,full,False
seed123:neuromorpho__PDE1c_vGluT2-ctrl_IN14.swc,123,neuromorpho__PDE1c_vGluT2-ctrl_IN14.swc,interneuron,794,v12_gentle_seed123,1.0,1.0,,1.0,,interneuron,0.7629,True,1,0.0,,,0.0,0.0,0.0,0.999,0,793,0,0.31,neuromorpho,False,,0,0.00969739255149,False,hgb,full,False
seed123:neuromorpho__PDE1c_vGluT2-ctrl_IN19.swc,123,neuromorpho__PDE1c_vGluT2-ctrl_IN19.swc,interneuron,199,v12_gentle_seed123,1.0,1.0,,1.0,,interneuron,0.6591,True,1,0.0,,,0.0,0.0,0.0,0.995,0,198,0,0.26,neuromorpho,False,,0,0.0167078826157346,False,hgb,full,False
seed123:neuromorpho__PDE1c_vGluT2-ctrl_IN29.swc,123,neuromorpho__PDE1c_vGluT2-ctrl_IN29.swc,interneuron,662,v12_gentle_seed123,1.0,1.0,,1.0,,interneuron,0.9259,True,1,0.0,,,0.0,0.0,0.0,0.998,0,661,0,0.32,neuromorpho,False,,0,0.0068342699901459,False,hgb,full,False
