method,file,cell_type,n_nodes,accuracy,neurite_macro_f1
neurom_rf,hpf_ca1__202426_024_edited.swc,pyramidal,17150,0.8682,0.6686
neurom_rf,hpf_ca1__202426_025_edited.swc,pyramidal,29420,0.9322,0.7463
neurom_rf,hpf_ca1__202426_026_edited.swc,pyramidal,17563,0.9224,0.8057
neurom_rf,hpf_ca1__202426_044_edited.swc,pyramidal,62280,0.9681,0.7915
neurom_rf,hpf_ca1__202426_054_edited.swc,pyramidal,31714,0.8660,0.6434
neurom_rf,hpf_ca1__202426_055_edited.swc,pyramidal,104139,0.9878,0.8984
neurom_rf,hpf_ca1__202426_098_edited.swc,pyramidal,45169,0.9837,0.8807
neurom_rf,hpf_ca1__202426_132_edited.swc,pyramidal,64236,0.9873,0.9171
neurom_rf,hpf_ca1__202427_048_edited.swc,pyramidal,51550,0.9858,0.9296
neurom_rf,hpf_ca1__202427_096_edited.swc,pyramidal,3506,0.8916,0.8581
neurom_rf,hpf_ca1__202427_143_edited.swc,pyramidal,84679,0.9780,0.7426
neurom_rf,hpf_ca1__202428_004_edited.swc,pyramidal,41485,0.9561,0.7720
neurom_rf,hpf_ca1__202428_037_edited.swc,pyramidal,42644,0.9273,0.6500
neurom_rf,hpf_ca1__202461_009_edited.swc,pyramidal,55879,0.9594,0.5676
neurom_rf,hpf_ca1__202461_027_edited.swc,pyramidal,51205,0.9644,0.8206
neurom_rf,hpf_ca1__202497_009_edited.swc,pyramidal,66021,0.9897,0.9118
neurom_rf,hpf_ca1__202497_020_edited.swc,pyramidal,32754,0.9813,0.9295
neurom_rf,hpf_ca1__202497_022_edited.swc,pyramidal,43240,0.9871,0.9235
neurom_rf,hpf_ca1__202498_003_edited.swc,pyramidal,32575,0.9878,0.8936
neurom_rf,hpf_ca1__202498_021_edited.swc,pyramidal,51862,0.9387,0.6214
neurom_rf,hpf_ca1__202499_016_edited.swc,pyramidal,34267,0.9915,0.9424
neurom_rf,hpf_ca1__202499_017_edited.swc,pyramidal,22802,0.9757,0.9050
