precision,recall,threshold
0.08047553726566073,1.0,0.0036536931964049
0.08048780487804878,1.0,0.0036577033074585
0.0805000762311328,1.0,0.0036578820255118
0.08051235132662397,1.0,0.0036637231610777
0.08052463016623455,1.0,0.0036824661747967
0.08053691275167785,1.0,0.0036851489190902
0.08054919908466819,1.0,0.0036911957204556
0.08056148916692096,1.0,0.0036937686135704
0.0805737830001526,1.0,0.0036960259384028
0.08058608058608059,1.0,0.003706193590787
0.08059838192642345,1.0,0.0037100890358317
0.08061068702290076,1.0,0.0037131082499809
0.08062299587723316,1.0,0.0037167651398263
0.08063530849114234,1.0,0.003717741140592
0.080647624866351,1.0,0.0037286963702198
0.08065994500458296,1.0,0.0037341252700975
0.08067226890756303,1.0,0.0037392645918314
0.08068459657701711,1.0,0.0037408229473499
0.08069692801467217,1.0,0.0037446362102675
0.08070926322225619,1.0,0.003747847831228
0.08072160220149824,1.0,0.0037484013122367
0.08073394495412844,1.0,0.003753828114905
0.08074629148187797,1.0,0.0037658024423874
0.08075864178647904,1.0,0.0037744657303163
0.08077099586966498,1.0,0.0037821985670039
0.08078335373317014,1.0,0.0037836547927895
0.08079571537872991,1.0,0.0037873851073166
0.08080808080808081,1.0,0.0037877758113063
0.08082045002296036,1.0,0.0038002781709695
0.08083282302510716,1.0,0.0038025236522883
0.08084519981626091,1.0,0.0038051385087114
0.08085758039816232,1.0,0.0038158590821549
0.08086996477255322,1.0,0.003821616541654
0.08088235294117647,1.0,0.0038220634527456
0.08089474490577601,1.0,0.0038281038610508
0.08090714066809684,1.0,0.0038311347026299
0.08091954022988505,1.0,0.0038393257914526
0.0809319435928878,1.0,0.0038409412585155
0.08094435075885328,1.0,0.0038431226481172
0.08095676172953081,1.0,0.0038476454133651
0.08096917650667075,1.0,0.0038510831910291
0.08098159509202454,1.0,0.0038667564884207
0.08099401748734468,1.0,0.0038677989240831
0.08103130755064457,1.0,0.0038723720987654
0.08104374520337683,1.0,0.0038756877506626
0.08105618667485416,1.0,0.0038851933471566
0.08106863196683556,1.0,0.003895137151742
0.0811184513750192,1.0,0.0038952642135072
0.08113091579594345,1.0,0.0038958493970575
0.08114338404794837,1.0,0.0038975021213022
0.08115585613280049,1.0,0.0039009158417419
0.08116833205226749,1.0,0.0039057889075208
0.08118081180811808,1.0,0.0039063009197157
0.08124326819510694,1.0,0.0039068123839593
0.08125577100646353,1.0,0.003908447232732
0.08126827766661536,1.0,0.0039145033769697
0.0812807881773399,1.0,0.0039147695202241
0.08134339855184101,1.0,0.0039206399094781
0.08135593220338982,1.0,0.0039214259960741
0.08136846971798428,1.0,0.0039225114308158
0.08138101109741061,1.0,0.0039260883530207
0.08139355634345614,1.0,0.0039268353141353
0.08143121529919803,1.0,0.0039276755899287
0.08144377602961592,1.0,0.0039293734346952
0.08145634063560629,1.0,0.0039358752745762
